,phi0,yep_or_nop,mphi_phi0,A6_phi0,lambda6_phi0,mphi_2,A6_2,lambda6_2,mphi_gut,A6_gut,lambda6_gut,dv,phi*,alpha
0,100000000000000.0,nop: mphi_GUT_Im A6_2TeV_neg,93.212676096019163554872251289764,416.85976023073712778177920916063,4.2241834163536173680184674894237,1563.36706808543562981292461234790786916174816978779571497033279827779702747617689205383722014354525220907284552159252521590411277354371686440363655149,-4665.97356372778646205256563816284438530476652252430724196679310687232990205184335941104536591871542613065773574376200630563381607767680636770876319476,27.1537463040256333857463395539452219478741832746200058166480489327177467032290225637606773402460469601910695218481065333622189936302919036787521690485,(0.0 + 409.921820439408655091325003546676325994971085835373555817855551791716236577771807271827179408372502144824675275761740054525910496056328324285439435133j),990.839715936631335715141595597118921515945975146892008578622486133111721589948659648519989988371216653827180377052515639875972495275019497678740117311,3.09365132093623550479876398440884509788144116813778593528419322817860082809416265952147558309128035806068816851732324534297547584997894661821299556204,0.0000000000000000000000162535490997455,99999999999976.3414365039121989,0.99999999999999999999998295764162
1,103600836355835.21875,nop: mphi_GUT_Im A6_2TeV_neg,99.730041104392928543995359529305,446.006302616541577017828060197,3.9232026604689671185013700504171,1564.16967649439609874090651453676210209810630544878781416322818358874743062425333784226582576018967101662548752301546838992273346897257933348398450159,-4640.7085111502536927967771880521300658355096909604322317650360098341047037860794623912971827367564833324265653070299650740434295530605308399568733548,25.2698298822713695060844892093703802469395030370254296693507403946951474604679359344336314656733350558861490569562384096044284892334131228174876308715,(0.0 + 406.848511834351150541216395561536318835278061537090540119282885243421186248581513560778593384960960890120619797555589723670927217140595495588600716967j),1016.10476851416410497093004570783324098520280671076701878037958317133691985571255666826817317033015945205835081378455687146635901989129502543062995727,2.87901498820193808587448681172199352322820411699870793240192728136494692177238196384041074199201862839955312943931445004451777502370493519834672957182,0.0000000000000000000000245279094711777,103600836355808.9113362138630543,0.99999999999999999999998043252283
2,107331332936285.484375,nop: mphi_GUT_Im A6_2TeV_neg,106.70349559680010862609179657511,477.19253918258906847808995671607,3.6436809864734365270989956534889,1565.02929578117414848462737666215534192941049914062723282479959013139919609640668269996060741661841321132917362293442640551512490058186512219245367117,-4613.39911738878004164895573849715429856854525834122810914792146733933604224388120237560493532745294470265935606098119669272067247196147922740409127082,23.5166801998538627889293526967726214229391889403695564004384964949567672060803852942159853296631671278505268405581010320408497065021565150351439440448,(0.0 + 403.529170932030682410801515634937753662903673786215866653372654611178643411061660331655160323200355218452039789747036556344060571841011394285023001034j),1043.41416227563775611875149526280900825216723932997114139749412566610558139791081668396042057963369808182556005983332525278911610099034663798341204125,2.67927703049678748447834880270488878295284295605496224176916631082167726009317697823499377585471388053419471804319545033828762843285882328307663572199,0.0000000000000000000000370151113871307,107331332936256.23154144442639834,0.99999999999999999999997753318807
3,111196158593857.796875,nop: mphi_GUT_Im A6_2TeV_neg,114.1649837986925852883074309044,510.56132884807757404765812769647,3.3840874156655629679194449383754,1565.95425628882727374017935678262901952869652280544058975579626590252768599617313730012595251285519733178300054799979702677905083050976433829987059174,-4583.90253610582424939086617263496695508989063765836506556117857248333892466120024218598514566985702628968222097526181482608980930470725833584214874552,21.8852160264274127648274926524824307950942876184882598069028763060698125731330873819725540023899036518264700340841230861077218130324553751906054505502,(0.0 + 399.924687481675457515119679797866116755395656813526432063453631060815093337215845002872952885728280423049366097793023017072738617969523934769623787246j),1072.91074355859354837684106112499635173082186001283418498423702052210269898059177687358021023722961649480269514555270711941997926824456752954535456655,2.49340281488504998820404142040169362574994616469655662321763671573181747345543138913098767215781490549766664582909612977029337408070587247117604790023,0.0000000000000000000000558603647982787,111196158593825.26884780634906943,0.99999999999999999999997420416852
4,115200150298797.625,nop: mphi_GUT_Im A6_2TeV_neg,122.14868908664722646995760576125,546.26554432045979528145774431378,3.1430002698930872462842537406445,1566.9540809064749664564445932956356483587417744842923524927852081718226771545711092244668056639317010431241097187231584931940256707750526594131199449,-4552.06590715384732490919738885963889377098497876123061862156790556599390980409316493068406623874609895873258853544202325847416597534645229919907356566,20.3669871067880026574926298033720899698600774305429422584505047487625274293966742020635810574804944235963332497211697589462539044940969374426879033927,(0.0 + 395.989137195648613879947261434292691122286879593721867298178394033472833258777523682130327996719547459805528775502860095356211598424373682758146000975j),1104.74737251057047285850984490032441304972751890996863192384768743944771383769885412888128966834054382575232758537249868703562259760537356618842974641,2.3204295960099171651205178867655868175105694865251772146569601656710956023056002581458321837898592214565100720308843332563738224848480292022526334426,0.0000000000000000000000843013709600157,115200150298761.45508329429701118,0.9999999999999999999999703817718
5,119348319192733.546875,nop: mphi_GUT_Im A6_2TeV_neg,130.69119106393755124214010547283,584.46877455875485713107950636898,2.9190993628167651281254408436449,1568.03965398672220674478824503312877286480937466450972900385204711406897711736650527002974705199524438333129453372595842573692532827134522444864383967,-4517.72565411215713451380158394071512163317186555785148773238153194018944907649125553862880576442934404799157377830940688410577249723138733299974090345,18.9541302968053798055935544479559871541844596335198256708496036406184547289198657580206136059724632585901195200569556271275848561317598726708862332207,(0.0 + 391.668395420935657970174917648956121369117461172101262388471838855122111718390163808383408557654794693255434018099281338105266607549784803419863116382j),1139.08762555226066325390564981924818518754063211334776281303406106525217456530076352093655014265729873649334234250511506140401607572043853238776240862,2.15946151861985557331867657701781985975240807210422438238936161166685370130774015009247257813875018796094982214186571687330396399920684588505710111559,0.000000000000000000000127224763546665,119348319192693.3273170566629538,0.99999999999999999999996599286254
6,123645856860303.765625,nop: mphi_GUT_Im A6_2TeV_neg,139.83163366303168907887123076422,625.34607655077355684464775778466,2.7111587494577784114809942209399,1569.22341360156240237430731528680772380052379409504010126160000650030466159604808316938781665456441354925737294131963922552590395916498578447358218898,-4480.70673250983939113813140325309672488937039002125032600781987364111791690341839582429452365568493187145934723517425027316140535523805082281319017263,17.6393287503686608674998834241873685511218518112127651744014995107906533020277354789620994368606746371430825671008314658846543023544292623977119954285,(0.0 + 386.898393187500500725875199526770659590831390314771617318605041958410521613654726935103947095228601757695017738748324240338932095953199454704022606988j),1176.10654715457840662957583050686658193134210764994892453759571936432370673837362323527083225140171091302556888564027167234838321771377504257431313944,2.0096649676997368738084296490839299899524675044516286473634025669141965242439771610703580341034641927505679180326285153143846325135391519683285079518,0.000000000000000000000192005997509365,123645856860259.04302156358160998,0.99999999999999999999996095346214
7,128098141826613.5625,nop: mphi_GUT_Im A6_2TeV_neg,149.61190504967097206233434093822,669.08477986861668723802628099106,2.5180399940843688530243019719957,1570.5195701795393229500190032449753588310532506956031421033532202721566794444196037726612029411397106751190004912856633541712202196247885554623126277,-4440.82182527041543018807577211668425845016291795463123012765515065128270198033125700707174990113621985409921735337431392633609018251183387247423839053,16.4157739450073684963658458277998055808240089298328078395834225327775058324720024194133793907391955554766618014532176027566960848805057298762824740221,(0.0 + 381.602893240453530785370767453054536068486058877797556097814477913498150038664739672625767394077695105085655387225070723182970937673709138632900926508j),1215.99145439400236757963146164327904837054957971656802041776044235415892166146076205249360600595042293038569876744020801917369839043999199291326492154,1.87026424201487384419410065290221160975559541622118629149643430348283915473482278216968470438135412973381272725003318502995947273337334632586249647378,0.000000000000000000000289777089572221,128098141826563.83268295554189902,0.9999999999999999999999551671408
8,132710746288656.171875,nop: mphi_GUT_Im A6_2TeV_neg,160.07683015764272150990492557464,715.88534771035500344409878249932,2.3386859193534746343071671466298,1571.9443549074269274986270185738905229859519614301561775748264231285501315987981670763475675973509351186215729074837557435941715882281091484762174224,-4397.87048167031878036932449326572603335133003033096086309546014103347146473788710764215784230301281090223174675420155048053348571934274382737674395364,15.2771303486362915877971202853901239355381810446625978844961254771476458304429810900684780374995444879083808577718993310651452279872431773301803723264,(0.0 + 375.690608774139213354919689877708815525543248189689863853976092062814978277141427019076729159462607948273182008781918709497000538683682406177368657449j),1258.94279799409901739838274049423727346938246734023838744995545197197015890390491141740751360407383188225316936661297146497630285360908203801075935843,1.74053752856072569000200876141749787474892949401744977026806986721806929915035841728484672037074535114417234786715722457066420425973914433239902485651,0.00000000000000000000043734019031041,132710746288600.87422877081284149,0.99999999999999999999994852317108
9,137489443089118.34375,nop: mphi_GUT_Im A6_2TeV_neg,171.27437674163988463104056085707,765.96229839643143448761514745805,2.1721148022785260809556368357747,1573.51630164043336598211217707419457974833183543593202257797006457609599815229816959453690943996929085528412409565192350855896832612071264610089581655,-4351.63819584264715840598654723295801138312047535421133214536918412790811755007295264265773440737211345991772201382428912134550517058061753088280086187,14.2175025436298885386390970566067555318057683474270025669414740316614869005998882208055110837067861422701659483996768639153073197839192392057844454469,(0.0 + 369.051401458147333832134226107206116462505420082701424847758641445321641464135536545155104179756256712166779263878931391846636012775316146988825512388j),1305.1750838217706393617206865270052954375920223169879184000464088775335060917190664169076214997145293245671941069902328241642834023712083345047024502,1.61981315697842102238847408163867805092832421648054344297176304186931302516134227121975280838048678947495785727613284941321483879652127311900116649862,0.000000000000000000000660056036373873,137489443089056.85489160032791342,0.99999999999999999999994089440762
