,phi0,yep_or_nop,mphi_phi0,A6_phi0,lambda6_phi0,mphi_2,A6_2,lambda6_2,mphi_gut,A6_gut,lambda6_gut,dv,phi*,alpha
0,100000000000000.0,nop: mphi_GUT_Im A6_2TeV_neg,95.984200151510249640061343568438,429.25439260944506332243141782826,4.3497824919682971829719597061844,545.530155311087225585892056591558560400228002200873153602569992105154272899127374111159970470408554845933642639261577381688932128706807357111038124265,-431.283610577805476580928809273516378232816710753759282348929856352839305076465059315220514831263471318638426107313479729503449213937521602334619952934,7.66979900645147216707447645012079883784897706467646205178546009153629206840194851044567445683135343691515876535055843945537141985974978524888596005821,(0.0 + 277.296221341084807471611129123880826004485358023256781501312648505413216578701604808579856512565930316499021238507857591179187712058071747818528309323j),671.739099253293817877046207168133337722916379439147783150786852186125583246760715294033259493249752623538725970048497369350869341677708346189690851947,3.70883460191722256109217699078357477031831194896953307066849099829653948843133867861021312491839897242453076924697062853679677578526100284401409387896,0.0000000000000000000000187320057019465,99999999999979.025094452733862696,0.99999999999999999999998223263775
1,103600836355835.21875,nop: mphi_GUT_Im A6_2TeV_neg,102.69992649543652585908153247587,459.2880338560556343880419183757,4.0400326761633749075892291586015,547.215055368172311162268460557387122984566848263411317040267146091880518849601243122923833889936542632132875286513770915192957286846820034472473394552,-402.69029211967598793000377513818471809449942538143089836372158072928875433721232183358198550966342588885548598350256900714634061847563283327283362451,7.13034945151247969676493175331228503492100896480741977965887800528929353309046644845401700969401856161432431388440979047267388075652122376136948141179,(0.0 + 273.95625180344207498541869514850803989335538194225435538899772642123957313202762016654032355331883319067793468315416338387538063408066962972385698557j),700.332417711423306527971241303464997861233664811476167135995127809676133986013452775671788814849798053321666093859408091707977937139597115251477180371,3.44797650463675116071223028763674296489884118517421397610620708221942118062613224521744771271453945280832277609554961500388404047485118409765771145663,0.0000000000000000000000282755607447678,103600836355811.89546076275222991,0.99999999999999999999997959831457
2,107331332936285.484375,nop: mphi_GUT_Im A6_2TeV_neg,109.88594487338364743947853410035,491.42488501736071340555344883777,3.7523543701770096476331168542002,549.071163781437099432984862078500278307074982106039626201186995361814043109253391361659902200798027455624545506341603486035696083501275956392508068732,-371.994498635781949613810504784110346187612997207298204518318549065402708130361812156863170147713699795854068943339325925377526792406494564509130360443,6.6288699723319840752617204256743199316232119335063315690551668985289273583110715222072986344933689474237292381014456099977005487591515867961678209496,(0.0 + 270.216953256972986132309313212338205116754467913777472439476429637888568959148703495286671448243735831292866769463762756432274012669735135229579569175j),731.028211195317344844164511657539369768120092985608860981398159473562180192863962452390604176799524146323083134022651173476791763208735384015180444438,3.20547934884797678391002022987850180772283831507174017697854613662871295513938603301167981875808997642042263613743337659563054158330798591150454332663,0.0000000000000000000000426819721218136,107331332936259.54977331044836506,0.99999999999999999999997657332467
3,111196158593857.796875,nop: mphi_GUT_Im A6_2TeV_neg,117.57521678865761592947560186507,525.81235441742590740221583305456,3.4851738097754911656386431461084,551.122178712776575829409880915015320873193559734063276683840403924759084986245241374442953440881097764958906624507465537342594998673983483681418801674,-339.048822756506675661901875306604594187494594092198862684957014163251915004526806660908401277264767208225567248212979901398262956145990299982004447114,6.16268593558058089697269422077497246351697050578105799501494598220819814222345873954062866071947435567855324519460651953410418064077339068550245904833,(0.0 + 266.008813490578174485120604060076488976604904194878658351271871364511396651636318937877809803141428944416852793904027467708622299670256594537105445687j),763.973887074592618796073141135045121768238496100708202814759694375712973318698967948345373047248456733951584829148997197456055599469239648542306357767,2.9800497795840753873639730360994979413920052915832752451752917602670554232560100323148183366293834754902969646036151899179646391202670527608368336036,0.0000000000000000000000644293897306589,111196158593828.95859417460387521,0.99999999999999999999997309972082
4,115200150298797.625,nop: mphi_GUT_Im A6_2TeV_neg,125.80301578607776944297899449524,562.60819014429806750022480679298,3.2370295213608646649457856175627,553.394929282374099635164829418391461293377172746724269920218130122147527168451389707991233623981612627266504201032017915889800326434207812681119058739,-303.69551735141782515071710056425224856261919734167499399048377317049602512471041742554229615002064786058391591072760480898415209229172866261559908712,5.72931125860301862187065524498809664186843193960322420281411907974340345875933973489541745682602209804121223765316886908530147061492169911479700803273,(0.0 + 261.247769307871826247205122691502439715838396533512288858941604188899918824982041629229655278068246805203875531441465052196896028359036107801595134842j),799.327192479681469307257915877397467393113892851232071509232935368468863198515357183711478174492576081593236166634372289870166463323501285908711717761,2.77048561809599926664634359728977837754420784662509618374353732020997936030880789019099402304589514128530749084386735054904136589027917478725513419179,0.0000000000000000000000972590063904554,115200150298765.55793951765403752,0.99999999999999999999996911095876
5,119348319192733.546875,nop: mphi_GUT_Im A6_2TeV_neg,134.60708975213807626631384290182,601.98120587839211228645250241613,3.0065643041989954335207553400554,555.919746956313467260750993441413747438850044133680222209179012061399344505761350459149255455618322201636392890163766095199601901301947598781052602794,-265.765769700898016258761022389660089838545976644396720188868060924626726644788196235656328076824447080820442506465293684040449658989526709002909742196,5.32643510663931438849527648751085748586437937064911369216050102684174051856239888726405550276928827059694238186300188823828242844994550134342393251872,(0.0 + 255.83115460750915110816264395686322615376247956885559581688022027231263261277166162564459590685422533683922197258008608871393038333820748994358195327j),837.256940130201278199213994051989626117187113548510345310848647614338161678437578373597446247688776861356709570896683414813868896625703239521401062685,2.57566942911459359592787579113423253600957742084238614794472755210064992881069386049645235213704652934205401628639158772030984325439157841374145536367,0.00000000000000000000014681887505403,119348319192697.88953556966655259,0.99999999999999999999996453062157
6,123645856860303.765625,nop: mphi_GUT_Im A6_2TeV_neg,144.0278346167048758783955746043,644.11205771009893989797427184082,2.7925177855500660211305967866434,558.730869135126789654350743708356102118286219882844384922113758387839060192456852820731403192313320985927577244947277936946022167994258822356829314913,-225.078924678554487616400658345975496366587371001715056621629250313844153199548637890411540094319590462328103169950302899413557107812011631588701806961,4.95190952937335923172566354602651059533956626414306843090910103020281602318128567308431709078685213678637866155345696770634874979728008035657806286476,(0.0 + 249.632050424797554814084720477476549576489264019567523093304171952704551213584771828072497164071356824038696431761611796144354447932416803968509997852j),877.94378515254480684157435809567421958914571919119200887808745822512073512367713671884223423019363347984904890741167419944076144780321831693560899792,2.39456254233717078020534206465750691886548498633748285290769014229170116882626486042986847959777861342548084474322656645315545227650938086581021337888,0.000000000000000000000221635942612517,123645856860264.11603329670128883,0.99999999999999999999995927095464
7,128098141826613.5625,nop: mphi_GUT_Im A6_2TeV_neg,154.10848025777411127679894103862,689.19407553113445217557738777495,2.5937195077343880363480826795378,561.866874422979657698913124663786761796511490965437968260199079655753431051462170064469438390086721487726417147339740190788906861233755752214915859778,-181.441653359887747542547134553708736749547309029013673926940026650167793626903913045951809268801996095512410041498677885123566064423355717166450848059,4.60373797042515263733623271222465069859763200290692474867552917919292222138531461013998377726596998543247541365824681983680685325185622961116185499635,(0.0 + 242.49115478700342700054782706560683738298165249362815768816290624582441626253992469898993487551937871651064862266919011798757124447048641042109002282j),921.581056471211546915427881887940979206185781163893391572776681888797094696321861563301965055711227846664742035863299213730752491191874231357859956822,2.22619949603773306534460977905916860479735116480797620604283387377307109587963886303230386065835272748958076027667623569789263621082619557861391606688,0.000000000000000000000334583644814901,128098141826569.47367712778888545,0.9999999999999999999999532311832
8,132710746288656.171875,nop: mphi_GUT_Im A6_2TeV_neg,164.89528946719811563880708073498,737.43415283632012991356653915739,2.4090825090981450875499071584523,565.37114797043936755425706492335698648762276785297026618435643049311688060748083011528213531052585738457316216932779288169286790312689374545086614683,-134.647063220528987951969479595516885054549707244301048909403133494104565700934960996142557864877367114553356408876349040662151326173800803625419109517,4.28006458809833555466336637027677761439289190479239690498729277355449608065242169443725269193082005969621714524676186227020432238021803647073545021169,(0.0 + 234.204632247892143831009295212836964741376307792345031132114895234835428469391952319980302992114331130894116968991011445484560057529201230211663399032j),968.375646610570306506005536846132830901183382948606016590313575044860322622290813613111216459635856827623795668485628058192167229441429144898891695363,2.06968287297062022735391284619617480975629319159031738383798373477833169423836349468501555503976155696586406371230261001623552456490206042072703544755,0.000000000000000000000505097739436873,132710746288607.1467975968575954,0.99999999999999999999994629558013
9,137489443089118.34375,nop: mphi_GUT_Im A6_2TeV_neg,176.43777089563692032784866418632,789.05369904235621303006457691401,2.2375973635656323871609854114687,569.292373945094427357510097230390065795895339766259047291069438453220423957513590274877140181961087081692855757029151256777718661609910589283079119236,-84.4737458174841676863016126158706468949263312417279987170740471492243081523564588043740535752186328871601842768418334204659401089315283919110435770385,3.97916433005812063346827848572148858010393585220402170385891578477988877794730302716893615498391347305289511980096115959394831914093137461851550935182,(0.0 + 224.505095024014140725919488937799756843525019024869346324372418955618966192143565544081858082160807754611948223164242442420344288365680857214068996548j),1018.54896401361512677167340382577906906080675895117906678264266138974058017086931580487972074929459105501696780052014367838837844668370155661326722784,1.92417850084735433113200718777319163346141686340651517463245915543790630837329293457920057448164941139464722921409961777728221755476915266834679583573,0.000000000000000000000762521905623023,137489443089063.82974718004867412,0.99999999999999999999993833124701
