,phi0,yep_or_nop,mphi_phi0,A6_phi0,lambda6_phi0,mphi_2,A6_2,lambda6_2,mphi_gut,A6_gut,lambda6_gut,dv,phi*,alpha
0,100000000000000.0,nop: mphi_GUT_Im A6_2TeV_neg,90.503585711136712776900165628763,404.74433971516067067196440281495,4.1014136906412556638591536106233,864.22071932360480380370696071134723276381862131061208431920653890978815634198346200523593260285878576826794983757267871218883549800862137255566234172,-1079.15263046144082449695081810683541793065522763503112622912725284009194967864454818913423880374973942311434082122616773358693153837351029872412926274,7.23251841439303768718902230294030660112949207603090108133054432548571490682618007226514819996217346082038226916990734551403382989649211261261951077657,(0.0 + 476.266408011337775730209580569283876725531196861968072578513179416706210073960329151600142531632531493151299239689235768409209989069645582123732806848j),855.859101247550286591387921658493770459511246898902091902473644480337254516203431598370658410739961935492178344950061779528792018057274916427894183033,3.49679773683073471543585247100793157750201279878219822849941048645346913683082728911332001168511577527528858965573101517458561859332898207236859123897,0.0000000000000000000000140275721674182,99999999999973.657778555089636388,0.99999999999999999999998369367716
1,103600836355835.21875,nop: mphi_GUT_Im A6_2TeV_neg,96.827158750426904957096584347457,433.02421806823630705964586203812,3.8090084252315941486119821430355,865.685933111215228505233500380006403927153984187085833613380278398288243571723869319111887277823635520388143894980114287406657794700298606253839513655,-1053.48658194275554387479823393780472138825648673069011721485820937850728394646715527292635438923877858477264259373368606963395711617145731099283682546,6.72322354804825480796514208826170448230287874463848738296243878836801810448446414033000237443222322063010278971455626690264152925439051184198054993459,(0.0 + 473.597939524229322064892902408705018955145013523302585606809975234846745557620100128989466378318609895422819442940598817955636135027494795284347344819j),881.525149766235567213540505827524467001909987803243100916742687941921920248380824514578542825250922773833876572442543443481766440259327904159186620313,3.25056246524540770824778037624170804916677363753376101400005584130914132411885921861152086207900424008255994256708413689809788889136950207337331655568,0.000000000000000000000021162689440948,103600836355805.92721166497280608,0.99999999999999999999998127944122
2,107331332936285.484375,nop: mphi_GUT_Im A6_2TeV_neg,103.59295313452363886521560367467,463.28177039748954522650413318287,3.5374630564607020108209315646377,867.248172279022732405664121002644718536922208093017925874773319308217819515414515264035885430042379351006009953964807396714521973565888024257949497389,-1025.84486438477346989362266946096048125729075134694901639025229003983804785258410035806745024774899730602255629717398094555741886956189564027909004031,6.24981844785070927064983385239249398803205787491074378724008642497370060667031545858058903630336431112912929997628547666207764147933268087534931256396,(0.0 + 470.731081177911480013880588081245069903319930296560706342274590790595989077826665387972675789378948356414357077960985903063560903873889426364244542311j),909.166867324217641194716070304368707132875723186984201741348607280591156342263879429437446966740704052583962869002248567558304686868889574872933405458,3.02167927572174468292295672334883553804815726810786045663614420624854007303726905999226988198009428851931721961013686859965290701815890578624699499162,0.0000000000000000000000319275259821399,107331332936252.91330957840315147,0.99999999999999999999997850769543
3,111196158593857.796875,nop: mphi_GUT_Im A6_2TeV_neg,110.83192028430272194653876700895,495.65541566507740821984955958566,3.285288485211110060980690223165,868.921192404746227723363499208541330314365934884264215642995538219559038394859301403917651929357886154606206173516232384072528831015712593394953755431,-996.089063375235254779049999593706245528731361681821687249147446835882371983269700652841370298051271940389006041146680071910692232304067061438031513141,5.8097720569581931000971685916852502488672655231699675772616424396434666580477143642581112809704322768861442595684545763081307012958415048341319929063,(0.0 + 467.635653578878614905151228430567072583898721721929490775470383523207012365675799080003399959036562032196155883172573466581585346359531275880026076733j),938.922668333755856309288740171622942861435112852111530882453450484546832211578279134663526916438429418217513125029549441205031324126718153713991932632,2.80892444599171660647688220965263608573000720699108347200979254444658429899960701606983985127031603461895077057497088317970324062042743310224679556989,0.0000000000000000000000481687878965073,111196158593821.57910143809273581,0.99999999999999999999997532548825
4,115200150298797.625,nop: mphi_GUT_Im A6_2TeV_neg,118.57717967236250585820692319667,530.29326865521760782902748821006,3.051101984803348400926426132131,870.720667758117289558638563873447066436520116251569664589088405681745455131482311889709951436639572584825785316889994824723040387316834693689392509616,-964.07106869936230006282525998657370202675108770690103322653264409350773890712966319868760972450055297787658525949559930481794918751080134158579569419,5.40073195575054781576788515968610175542065377365431063821645016118866827448908939727956315915453009651496121049853740471762246047591665537125828170537,(0.0 + 464.276492886608795347139758419483714220141116145249739156795669190829269185412367547431640959265092175269939433625491382509378975605892652976285390385j),970.940663009628811025513479778755486363415386827032184905068253226921465287718316588817287489989148380729933906680630208297774368919983873566227751583,2.61116062179882045934211353673879261317540296433938569218416795782999200712491048820671781574291261139575768335291661551191161459307672238194100140005,0.0000000000000000000000726728502380671,115200150298757.35222707093816137,0.99999999999999999999997167202393
5,119348319192733.546875,nop: mphi_GUT_Im A6_2TeV_neg,126.86417080506911884561395066235,567.35381965855754266829399481024,2.8336195970559318242250032275103,872.664449723598459632936805883593567285045620169672592604714511741888536493175300493742665489790642686573307251078943816191975248905484499573722277586,-929.632394655602181764354461308030303318673275676501148661970251988550315328862858166590912589306129810204474912791071362041066259404858648377156969886,5.0205117438402265575541358097763063572430064894828224453985524758835774026252218554235447354225573821677479492435816999078890700733101585951640484131,(0.0 + 460.61252837590086256616261854922598011473293738741415452257428427379771253679405918660958182099690288205832857131827298650674882296934868918989336115j),1005.37933705338892932398427845729888507149319885743206946963064533187888886598512162091398462518357154840204425338515815107465729702592656677486647589,2.42733071631811777869872369069298636230257589535990539191817934259933361088022571654415437648842704460055675515144629699280619585810343398893013437854,0.000000000000000000000109643950687299,119348319192688.76509854365717873,0.99999999999999999999996747750024
6,123645856860303.765625,nop: mphi_GUT_Im A6_2TeV_neg,135.73081586650871677173992886455,607.00666183804102323987330278597,2.6316490723001213278175900436577,874.772857264972776192685627999803876776904250232848095553520019527667438431149818600066965263436569924818892836471782731377027202131080524399869426028,-892.603452689877190012920258539903731413368499646847475388418020593084374308665966586274159537227815622286087435739274806657584246320941155087627440613,4.66707931408602557913390799205420616028595366607332885091718837169120255777378231650146019285657033601265210930918099681244189510687552021364192830454,(0.0 + 456.595654053678600049511627976121526768499209883634716476478325283783905405191265658197430435483051288718910034622595209757790178108875654256962822744j),1042.40827901911392107541848122542545697679797488708574274318287672734482988618201320123073767726188573632043173043695470645813931010984406006439600516,2.25645224084439934759679090370075237787017582418405272882141615054747062885779761193261741469529243328134418452885569786719167835279299676881217919947,0.000000000000000000000165425762830169,123645856860253.97000983045933376,0.99999999999999999999996266177401
7,128098141826613.5625,nop: mphi_GUT_Im A6_2TeV_neg,145.21769377283420459088280647649,649.4332696236103689997952531536,2.4440833144079886832902332820562,877.069002583211419678651733703457912517590166553599411307566153941757872472150601547966383776272898318810305668588738573891408902446951599346674915905,-852.802773000998277570740013076282189490946933049703674608185877758425401565892529453544507919725780577919608013114060574694798880893046066517254075947,4.338545955498113467959254780703071690223400735385262221888410816761919083564461848737730722137151196437373822437603831907591154842443342949417690847,(0.0 + 452.169335333480637184349710673681633389664482001444850104315648426286815025873566763121520751774941699748378157562978503528731157183037678637242317884j),1082.20895870799283351759872668904699889921954148422954352341501956200380262895545033396038929476392078068691115306216893842092467553773914863476936983,2.09761203623497612894366202211692278606733062511498112458666671903030875814700686834434884643712335972895740014937247144695945278888191059299592293109,0.000000000000000000000249590233101717,128098141826558.19168878329181267,0.99999999999999999999995713282888
8,132710746288656.171875,nop: mphi_GUT_Im A6_2TeV_neg,155.36822643807666335568752375863,694.82783171823887824754353865823,2.2698942946822462120351033885296,879.579155179533179476962891119157034022406170933275513334288907952083932827339977474717012514665761033576099186192110766657783747030406171492159018722,-810.036171534749813792401028472080945945368198162267777124177165076043196092193381592955945102603522224433192510435633560200658035388921681970091087711,4.03315622639168766760698452330638071271954111774296624987803264612676953827162936531729506656876255083852616876953279701465296496208285032586032739945,(0.0 + 447.266869868414992743975460348927560567504658127759586828111820607026602937418110500371213184091792268837056919997998069168111251065266581931959146743j),1124.97556017424129729593771129324824244479827637166544100742373224438600810265459819454895211188617913417332665574059595291506552104186353318193235806,1.94996137675437814180442357833728759815836082580350360559313567743359699980212840575060541079589417330307465131845878409129414003215828010423042911516,0.000000000000000000000376580631731178,132710746288594.60165994476438785,0.999999999999999999999950785016
9,137489443089118.34375,nop: mphi_GUT_Im A6_2TeV_neg,166.22887810876010816799403884156,743.39814254942856314782370966711,2.1081274010463731730690368340813,882.333147509047798076555985052834785676954573642531276116325582478972326924153541435880138766186877359168419422958931397583222971968567594259941720331,-764.095858532508363327671434952175998205379364945442493701835378058745236672306466424715823970129730810193805307784397141129250865576171485242443945536,3.74927854329933390163672615080973587331862709641239188617300712337637284350364450423845188090460969193678860058485083725686277433377240203402299172996,(0.0 + 441.809189486827990331546951858628419590636007555177377901962246488227150024328627320730742623115348082557786084090588146087443029655122322223091039329j),1170.91587317648274776066730481315319018478710958849072442976551926168396752254151336278907324435997054841271385839183237198647269085461372990957950024,1.81271141997602395558316588705396913277835174103349960236787126637478020511582500282301514174385466805647947565564469555735213757554848731868833379874,0.000000000000000000000568190943455585,137489443089049.88003602060273713,0.99999999999999999999994349703392
