,phi0B,mphi,A6,lambda6,ns,Ps,r,phi*
0,90000000000000.0,49.77380135821101546150337904283869931641978689469,314.7971601934584623671346611912866191471319703986,3.437942138830647183470508674272795035324328659523,0.9775999999999999999999999999999999009161613197589,0.00000000213275572,4.868922526995282532591075766994942327061975620169e-36,89999999999988.46761556819007686436763519734167898
1,596949152542372.9,1924.148400554607845917363892161599098294503045534,12169.38300384510964703797898911392596005719018869,0.06866841051919365452400487756985672097320552017973,0.9776000000000000000000000000000000000453579729857,0.00000000213275572,3.201091093361825454210625066259551016358374947977e-31,596949152539007.7563900383762401564535177555281365
2,1103898305084745.8,6317.836465712911463526220324661266835152099571156,39957.50623224217795406169116886458767114089167856,0.01928057158734772847811612540400208971810799880334,0.9775999999999999999999999999999999999867474198462,0.00000000213275572,1.180160618561908906874623064139188466239059537903e-29,1103898305063465.449224870999854807857872112566273
3,1610847457627118.5,13125.1154623399692463703395270226550418044464524,83010.51882737650846777473971667240683361873076254,0.008833915877622906821539523401564621228848515789861,0.9775999999999999999999999999999999999923990601541,0.00000000213275572,1.084579326768038705823133264353328213869501120819e-28,1610847457560995.152641124558092774331338310033029
4,2117796610169491.5,22287.80943582588091664444129131462627825078265524,140960.4837460043865450698463756417338058620883384,0.00502109202669673700654940829441966317143519107231,0.9775999999999999999999999999999999999958387651748,0.00000000213275572,5.405669556069668056121199450130127147554492021932e-28,2117796610019231.173170486514714710858550014572133
5,2624745762711864.5,33765.56794126905988605939131248417948275695526525,213552.2023671455273482016652264552249755383147874,0.003223983990518988031669733589918378914240107466896,0.9776000000000000000000000000000000000000852663681,0.00000000213275572,1.905762730096457447292080393911454134484835763663e-27,2624745762425807.017359339625572463760981953698186
6,3131694915254237.0,47527.57893015629764433898005164002973304273843597,300590.8021854452434000175422635187450660339088259,0.002239214479538777353665046932418968100291047241581,0.9775999999999999999999999999999999999980808835861,0.00000000213275572,5.37522320216026153756767774895906660351651910717e-27,3131694914768355.991772612856954234061526091743747
7,3638644067796610.0,63548.9808911045872360083353158932928250780272348,401919.0451968145246915203330083861400890008123704,0.001642926297219737871513080295290784838940145435892,0.9775999999999999999999999999999999999999693356999,0.00000000213275572,1.297306384758588693703938154561313877630333359206e-26,3638644067034512.902997475893507735636678032140411
8,4145593220338983.0,81808.9763488694290182524564334281302166692011762,517405.3966185461982127351800536763925395580551351,0.001255226234636309072415389589675084951816170737629,0.9775999999999999999999999999999999999988860748259,0.00000000213275572,2.790753722227241560531474611610721112737615366021e-26,4145593219211911.057646914037575444965555258819202
9,4652542372881356.0,102289.7167999389343304954060386006329400962012955,646936.9726027940980785567116703433158409918647157,0.0009893237119921862723028894176058007217916626558382,0.9775999999999999999999999999999999999991153519172,0.00000000213275572,5.495292979035043714151505317917696320594888850848e-26,4652542371288184.262363201481636802849747650507451
10,5159491525423729.0,124975.5890396473997778560610109426513487542789368,790415.026572922241569475553315436432843493476006,0.0007992182074276598629892635399059577620601415833726,0.9776000000000000000000000000000000000000101138324,0.00000000213275572,1.008812410881110518294604371642547273326825902094e-25,5159491523250966.3238212910061535999154750830283
11,5666440677966102.0,149852.7310938822238549415275923611904550047738654,947751.8877068064022172241947321915291338850747528,0.0006587051624753591138080367559038274435522049078,0.977599999999999999999999999999999999999416406943,0.00000000213275572,1.749428682874577651982298697009522668328670825896e-25,5666440675087891.048732130378436348915561834540348
12,6173389830508474.0,176908.6889865852608592930211768031426183052522264,1118868.790143908685093357666326654584820304964658,0.0005519784797533518289833818452862906271813800300755,0.9775999999999999999999999999999999999995119682766,0.00000000213275572,2.893956224221981354543882197401201127013577080851e-25,6173389826786591.24384591612570531608183334396452
