,phi0B,mphi,A6,lambda6,ns,Ps,r,phi*
0,87646600661351.023354757006830062342580578027799916041235496311450893262915897395787948693152578160053160708472388595278176986745756533186340266436591051173578164355034361063192871704076037371308800106337636341537918088128867632578772062153653349124186376167598827207361537734759328453305446972778650285269085727063914641459533738605355074867207433840549079995617893176664704954262685100029641158094538968980639023146613188861838238948008440556556517057075184834378341757780839050907443782285260831813,75.962483413330251650397504445241305377809215077510526500770529368238714645923563078610962523831274376024270202203909191066732409834771786906458568666933543065443841908558502228084838719810247256436607091000094244141213271225931192720961623050177958178682937754912340379117423983259770348632427886326868042223481324838652991491576272079851312628098665244674791811453334090548491881993708272482954916989592700799598863670697157338400571290481568345251772184838485463710971239567773019070236229508350764,495.94530417720356959596625115019172884928517247853307695695864070796619216830715444991238156615599799433649775644723571398436637929227281813591306853592230454751220529155023371561537319653348758406754081758245800338366322671324209095034476432297332565890538477009494487219881707232417673885592273545511627930863045554244021820273846685461115995595572759462010940557166274578406610361911219210439798463513219280025112845608517357152019125246684134397123810697630244826989853276417179892277115615457842,5.4162853906882924152304053669814664051634650053264466015106389175294314749175535265751883467908614257753637340596645451888717885999590173945345282622318258170474381841052501881701547235766937604427071267813718839817813501419870999553885206681359362096959237304096509600283407689327618009163320981626080885383060135964848142217155731952503787357265031956848023001880272088144174748675880029574182237345069090313109407394357744202903695873039984883726162745014405131725551417137640423951624856014477777,0.97759999999999996669717300078438642586358836028889461358001124483949754678211434970859157474081745111651163056886280252995750425759140547950346933269997565797381472645765608909888774113317806802597420087048196204601175102763508271825803231079251374956061475763636446195067568980293261928485933852186255563193406618356199441125876811598913506775727531450003283737375368391273417209100365635112383002584493355061233472517475880514961464369081608517424482872569337739157113620020260701737033140853235419,0.00000000210310517000000000000000000000000000000000000000000655348148315355841119093792711782224542370317141480733730756297230970298022958908741974061278046104206396194058470427989959716796874999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998624616630793050253458844020730407,0.000000000000000000000000000000000012094478410335952151476045398475659127694739309395200665343014483953638258051373285338672115847455103491504135551464813672997964845109058145979479192817285856520606309831294627311425463322735063529637726384200371936555265823323134476647759207456063022156863981550742926404175122701369518214062697847579533619420746500900661775203796640332121716254671868689968490625817717740361428219516082955787986113248718522029455550593958570702145173331557973078729384690756504705896638634169787828078830389496729,87646600661340.208223774923754492018421511349753896307426302309629295897876411699703872918803837674746368038406059547681717759892515143481877013083887599617282842458679155301610933288026372904868808568808652246774670636150400952626406954559629409642289950343640453379872423911867841287018125644100506550221370391645278406371513592704171269383094050293474298608317925541588878846398198658159600646330893285569179724256500582296820571763365886968676660290197242146897873695409716705504594793074205285263
1,1642410429923926.5990273752212229332176682471310307534928464661542137174881593246806101190387125238000443584267700413168162062856450904463782556396680492505604216898402930024569047148470287556751419732837183723632745842384002289688997560883765375106950555198513775256394371635866938134855735939192433541334181213354137924534992172888403411313864043341729519554052573026960648701233698478623255285671221473746695305596102844001171930233716177686414771928594315862266069396207120514213260416806741308668,21470.781565544261834546245237362302776549796573024065988352958111324921567359581668700496504559936034126964744898266884712995481653997374933528354030438906560793616256746640686375580534450872408590670089616885700883174537615662516231567695476667691202384094909493391122754575140641137586495269492925050810134313189232026762258065866039219388743246671142721774332614244462216980779139822182848844212729831840809102414333547660502087190950349177356656207266504597407727169539555451444825735900095881864,138151.91327532827102963722632660462952591044923760832836328244049169471730398958570453358488725829161283178860168915403525914021779896800979902419341958539659882773590003574793332241377636847921367135320585790271966543141817880990231700078001250906730865838051327568854399715328348364360677194869827472712090937583784085654828872612360474924214358337019797546210361119611795658329411880699726252370706663257398284964579383219755220269350303260457670640923413598151992433775909781885658039360940611405,0.012905107907820268000392855363286230605822952672133804281041407646045683846174367310699513747994732035536651076247449876069320041416694766756213555413843220722990121386167295251090138074286011383642840662713152209446650641658187825710556095269161316188109305546160428594142090264800490925963484361921947514744648645378242059387214958943245359354717106999005030123478927772004450565060182758562755363914908113499169476832946081245850732886336955211952204723746204913233845376775323895680701457994692519,0.97760000000000002254314908685668376941871054107861693383062227971011059425915308762586383007978545072233489324216682615092210766222495023700385341032151101941102473559022372696285196673447509525191616111978817483310506950294973007763859128936366890774501887466324179708891751952106326500299022564740268327582534684039099043180551600576684358351551187925262225186581111906742867054145027012435699344190956777303692306765291862632712924110608637228824250391642715586243416592042804426540533902780382635,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999990497562793579341138676018225581,0.00000000000000000000000000032442179304349190213674472169125293592154930683663858251780380523280663756417291689008893321777871224088753081768035238524860141518459045189902436628873964374136042845803240876499397733744978246622420289074889584698049997654028156996978135380822851324866495165198571109355985915081013727868372102100411057385925895065527989665554801604853615464119478951090867689060063569574663206425367933843001935090502326262725747448998205039700346334210223913259121364890958868383532670493353567553942346408880624,1642410429852658.3359711985180770114347540523531099283042018358749045971604631962490793142476830858829027933193166352200741346013831287357992220890269439272496471894427916010087671176257471878856667538720085997205051693925387619831764225218753152664913764906171068312893022437710891984978974878065825826749269159342944573779077317859583398261708703452430551175519377532528418081297862320825722983430074482031045501390617833505725908073947536608176206407127110949219671816142062698588621812160032701858
2,3205975153518453.8864459507085397421211857558750973536170901154817829604694854066473341006663343558721823531343417694365836348500774383285637507961587540287945213567744205829122496560037410701146266768882613627679026320208091366235067032314756708007430516237499127335595210481807949261149730859528639240138083700041459076890865006266425044054695971499665285236698409759120157433122680348061480436768874888954139498324499691916396434812756786880721014609245748397241039758260868413207362894822474061079,78153.058987053556430948163172934336663487740029157581862385118573315608629303215554745153806408318414357339255266881412309886638224039983358982337103830861444784620755525276366941079086109535078980925094098098526204378350712415290658768301351004889943234428990685539058962321324505052984208186144354745078412090310382623225596940496658854262800962080357077922068014860405910212487388853952173257897045513228098211914629518067490110822837198440601459646910948542226033501621148249825105430436202403286,500807.67298570864712894035776336581508742332859759204030833622996516294944536698634266369677064918375257905400865082710711510902908275699599067659618870953687381406365218462386894334863687693622086896632126844108771381657853735481183106020070286990193437859841098225272867674322435093981121851177073803991079247617749681946668586153867719091733905811430676651000297673831647065869021927076269437596779411638788483364597316487676232824562331376272791075903267909317269715097749246486389586839460175157,0.0032626877521651028015189666527523338731523411374863570598739764575382176341061520010391941071706923053235630629635457325475423155366876774491146691261189052357657476751261498360174016934495568769510494534316549321713065102159619189521389498870486147614976770645654166030816617388557893086751535312131982177931870687672532261543207738626439330879063623372703426802753788310682982939208515659300349582332509248677961359662349217541615360381299829344209616173503901128775445619173079641899151204080038434,0.97759999999999997694726948046062391155239403235209969150635253836384120852616127490847564142700046033630281914807522542862868073108487824410864096803904232261378987875022674544468070146929445862498644142858891991949801394841633115481583365050159597805764403545029976681507354534654289478443105407590680774691238821579635273777472011367106008845779152895223452586657268890505221846731970814998650440935604425185836321214692136769738472797731640897353614785822479535221456848953842594696988634020330701,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999992276635889100523978404139474008,0.000000000000000000000000016192176183507719523267707269748427436813179149564272750341145214062746324508748238882704751123275751361399388590495488240634512515444632990312395550252084195689042495702896070576876959831494887593643753719738919828429471002956733811109919838172527122259628202241181147665346587295947436677381071946044052828435199088887259013722629929705893870213285961465080421543188892609404743829294669178700646927511741502851885478571001302043796080515132717850255048698802138643439932793602754123514427310625918,3205975152988173.409093514445555704117948345657376499895583360718833647433291268345951674227007282458797886491535895011715401842308952535047000382898842202085897993126389164925426408645833604945259029978215452952948104380562772415298147203539838842620504530480475788966060602763097534384864532851164791494985509195744539283331263741471955781716591045840206259396673003624867842702272465443004509492927055110706294489441286900690606591524347371473796422148726770420757482106592464662995308388715378732
3,4773333322544446.7065914465091621253141109935978392090544725047576299643960014138720703738645868984149611313285487590835462477685753237698902700181135602435296176692032644050071453647596746424214335635680108044052747240865722290830182881140366412018578787546872284399991122360327486329031373745781229429979036497402851218882608380772867141785393933393979949416516818408602568484608130457601203561321872180850705648768214227746733149889858403056382053962882408006596708222825271975998378720694532667324,168706.078458700784631985199892685283203760738071336411698930603266272908731766603350044525277465251702819115315025452245875630106135013569234063613979645425013519707202941430076529105642120220142196636431831172196974369938339351419702106958600380779204617325871702377536226220742882389922422187766218310448230655298367735018716400050287236666202312751991226751651509861267414621209108324424389295716834814637627332165937128910414920427511289057218872417996663514529186235862510468330483331679400369,1078254.5890235001293874652493769074442722111756753660257372665312079009060912231017372084014140896676465307544099082520239060043421919695833729380630071493487596717618708746871780983843682828435590864771247318817335561951784361246774189531235182170096826255637395089125391646683166498633237736406587666990407988265107129359171091427061171815443772321832303366642314519168206027034677395067352473582781481540556177837881936476493085396387565255590795636114784958636492885279023035929729267760909726009,0.001440219359536822012294582249356147275042004568276658685512540813776705291518649231576962358597704349200001070137507152299838455142199377949567453878458528384465275629150342868050274932105593809684673096780106648606357052096327354078470201718770030046967227094864426500040354445160454126157109347912223971235066560723705119623145178538672591376583095707582303769054193439667784814182801102739512562283223282836037960943440479773299780790089081823571211592125787999853833155081244967566424807234489283,0.97760000000000000227267146896914841734021089220298141958083446623729357546379976397926768876604778252062807961810624018397247368288365057357077673456497189649718845668126259771475659268436067615128654228131369406370987767370181367661914528249362771312782155359548117054376738920959876465392002150330921486014063166197460431926876859936626432145114806340337185698737229353490850012047944816202946120791795246059923529352508904812555868397140295126074259844642036594057026092976538497874588295613730106,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002676937524747385981731722371605,0.00000000000000000000000016608864789478022928421295255968207302981200830737313826346133686910851977379695241903662780450237301044214706274851521593810655495835264749601958324829473345318955505619778625691271082311807818089892814353183366380326004170167168086958642019793015454968534452881627581309391149686542484246391100453903973205750273641342580934061638673913245761945272510074982731844378639551659502879181192655137288951330832138176961659932825763165931203968115034232483302402757154715912247321446261504092884826332552,4773333320793789.1090740069051967634093193834331725971796774011596832394316762264288824854230965902122790497823830916796624173713583680594043034523014994533838674681620827341771014215671359797722558560325142895444770447829418306714824523991906133286316246428159177067479283268411583968831692577099870116039372495837215019388259457061217012983232014565798301091324351068011009692725117439044370948314147151401710869514328813594345971711445267573654510127695764835310142183542497201704252018207320944405
4,6343207786672963.4178594789555056340556776397686142329171423890371098887380230751505328237837561773347730754738019010587727337854322987013690441460759996864697474432608435901662346612801354752858646881472980496774903505315693387929549759972943015592182464896558652511086027059269959185646326232699388935721799889964032433454270851711100318633961638686766414431703261376074261469235193491585895586516458959366710379340698327193867134906719198586744744827878607423700850777372853778194186924009743039607,292407.74472492471161083036280724069707953859511047211476449303524009415259301464999813972698631855625727948046095173459287011848687377252051852082500759038885452482976103408841496993373072822351840592103117536219849732931716085427818651817217293536470253006794445112174642237959656992309983048415362872522992095457605329184658418945439743119795416663881281764469283153575200974770204028716222346055583944155249975729389572169485256705359423877673006075618847363175725387294525935514268972231427107838,1865234.4138849654237499138091810099319219010219063395052701276934417930742457125846054157870349959766738032647575991060203320459748145765336906372730421847995604073600677608782112415412261688727358477369939523308724132939001640208893455496658380438252231688677662586590196543207818217804311130038640373206041124393205637500294516996438669822607006068532026830381980161524069362735544569841850297883226095766866461960486153144749143417596402432920540033863602990028379510354106313353163696934852805449,0.00080320517106492887792775856623129944585386466671444564291061511415523018460603502231245867226353795176940808260061009761528291753762851124822648941332167141061929284372344728574637590290686215677806833688248640987081719023852780504785513990337260157176146995633134968604501866545681744901858816442987914073870206177818165211466738740536548227916708470487248958412975923184176564831656864963399513840674489548421374698315748518344298073773382648880720989579891870662574861381103469253211200570643281307,0.97760000000000003477699368836442499202057995987235910054400847741571077881736558093641106894404088520924138683370026380959031650367204109664330252905156252663350163252436054207033908672134136164380284727930466238644559839110678263788006651863340080494514907943136220663209916707758505035595421260552414399504742317433753231671088223459609872250449811926588210625359365158032006112838556029757979977979821248112894248904922140642442491953976406041841068295859728518561999356255356841164322463391464186,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999044061441277025458085807107569,0.00000000000000000000000087658441112154644476162235402252384510304143857870737069242172005736142289179549304731908224852230481796453278966633126936699780248051520894655870087451888639580534318984622958926567115680786481646334398193761295229233635054278777132149031618587058304516536213087690835832011266486709178268692116091609903238022475345998813310204483805797057660461773876343080974453021354928664777279008005029023774333333412065033704038607586954933160916370415393863265931239439567120541190572613050667075942515259195,6343207782563875.5040868206843202890594534319732630434099782403207866250942563355965600464252418614105889251790434690280487671809425977808604691252566794983187818683445576458919130930137138282808799661448265545392149864989449952368991846819771376423095440303360287099177194181276677197090250169978886655360717331625220869881491166674693678236242034538957421255089867891075299865482756364272275035161437235642286830442373761355030600728669947903064038817476258247285697714965164226324192208766446825394
5,7914976180164497.5693635526145986331818162289989629920533431036826870841794555583629073736855034137935158954936171070798759228246248827192773467748368185440545836306014370221155308173068059916554814025320658489884802487933005143307008283992279037410815384484484087001859577258840325765141327911230339271105689576162754747087420031811161903497935630018733323389465489773069334458321423989397134621874349346496292094729412974397468675837722764768262932955992519548956264139343824549171727134844275612867,448770.23934884096965596099124561008110511296226867086608381826925666209033007068083311859889189222427884115400382539535213806922767889528979903627568262127794392428450400335312289419561720238329566567279282399112118834902255506491553740357965201625492601138166938724964150714776437076942731414454310992036454166050738208989635295052225443233036813980387225227100978097746546842285234827184547611022338564556083961535852205984593169669124332935637104341658633947828767681446558795348606163613705479717,2858171.8221438302270206328616609361888835739886094924332318570927066969269993433285447548784496472474689035177255106207775488644274254431522142079934698898429392079998631043270068128553879493082878798768523863948582669916062667139385275145919904895400532742782927215959767077100830428698011634985640065222592299362901734597890110805332142156306399785003857071954465893895021068632862361186822957458377993336240776168521932128392453714143633809312887633002080564510761120220356632154522013199210881949,0.00050985202425677942575623379049331353262105852259118942864036219246889516575850586353823383684312714545161745425151507554061462023165756627354400524907944458956989749184928935183232362419277572892008751697328992015010908604426413803631868561309873427700400782454768533961630664895075426449363979407965006557178093433723196549757623503662297643277120916792620944112676886898170151295070286851819961965015703044788151629866434106551828207424101204177011018521738183523986906432927383379986363371724357721,0.97760000000000001185706910239486199230207955281281560105381913284318960577697973372358815025860772787900413111098146256840546177832992186042940485909993749128354580641308294611194285459389854073414868110833549868447692291395651830949847899400863481730199189374798790212266337568149256186111738537280195629708897493816805213168181600794721082825378693540328290531478144028545759684546098762199302451902236519830825728207706430322040190262898242034258523247278331747971043100713898588084377871276544138,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999804510491691902360812568443398,0.0000000000000000000000032016396876245208370931681455031251396780675871058784560007677032495867785749579258158885413285481673566620996549336285893893711244705690141960712801846461501571025302292495194224619747617903013384704528501243761493121895883997318345071594325680406818759669747663244295001814700492135754273374764723764936349713317220104582013089907155295231444973537680236902571823828579140678139910690965954158487401662590567774885410777075594290349311631456891916992038367861794792914466288384560748977261968595717,7914976172180249.204261953169448207904918650574635052397554869748920859670298946942828858350098416322705366492611011406022595091510481088523582589695310467319014520989356244119912965791204147746693916590979182340140566865439939766593655588798567114822139297857707227643810247923107715916136266854115726783650069791826324344084996680004591739900675834751030235902692516737736413106917655445125015466261861327512366561800378973819898487368444031208172364416411853540919609907610399050195277521406527937
6,9488266690036918.7896198500195185231439355764456882626778640369452303885115558623594022052247034789430394652750525450653072908753575077105899264953752463664948851846357496005522485433080955402916263513825662397831735051369250095144770832665154380045891046586517181936855343165301565599177446187602815646547001454943546252320315150311294589859999187918216068274281412022103924169765940304543055607760737769967643735315752308022714231054227364754089808720801386051848854798277508785800889890321615089748,637426.89396154456652763511649665713672481272600770535517346825642192381126907696941434513204687362147063940009711809166018875870991168212002631285270055499289058718698438771622602730255312639725498156131973161411420354378371968554542675765584468959874826989186538697937848988013322447520766411854393090449289802723795210367845250267407369713178688180621413687513108238132126451082880522888386099799701489561193799459396225948723837286417243427665876908272428915859238853449404984550895405092402742799,4054365.8659718277940423360669134857545682101773251776884529846689085539550456654795965086222736577535353571720424213909509939602405413183461141187802423505647808268409699641753540155892065799910759948031188622517017774790519112954043763983539092498090119320758486256764453588603361025994805961220950089110934367777309396032758500080573083853921524666860423994428120619978736717944005914155937654838582897354879184995377301267618561189958180564544529558970368186281932170248774382909013703352756538197,0.0003514228515096612949087994610675710900350680563567834864708490359311674443393451198118069912810187031358941325925069361734659551324704963562728347917030622030713387270195398324873045028932281383889502178976522701037041740642455367637730452120403772376996778430426810720445706275055059354929548544750151909096664054521372873047666521840085474440318500135117913305548466543874123292701427841005504186636170513564725092398850991112613189769921925053545202319075539510172119754870621932467261299362972424,0.97759999999999998073499852466859257625002823649130746788665088397862899123439960160087388967862439354841359708123871012778012377998249996209263722250432903155926151706926966930916072070215605858747589583511922000501823414739733231103117702514922545313931093773186355445083405286033716073365162678843872901188606899480677520427858637430178891345942183020876337168096880029333816101979791636963037751065509776069427897038883787040364625940923733628102243131400901509487201657896768816988284339377324642,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999959650207852946046160335490137,0.0000000000000000000000092509509970709023553313776680105925785473028416288955581544774930390086941631776555102902720537879693198690127103301788560539532833004017267310559693673292404836073076027164215025443631476420753703032021360080381618805961043120502718835755423894807205294789976344716333551103403827087439566064959765911785311493691865439966287725502461588443897309678940915139907478348458224014266373700023988263285602522659331939461575732081531724222350691143235692975222253886744185779211962830704611526082487333212,9488266676280610.8762570431224396766915921494241755414697462101420249402072126125687959348160266766776926562675819445144397955906162910058788548298037265286361739164112516397939634381758190932162460357497227677224005695764199780611081500973826580942544284850090190575259736877468160581146322040703057148987732099503635516828541605414758646425287030487186059377373164417857604559689763042293282154571423589863577215706942452934255205358634549585473479200045501107556922294278452017871306275616288935705
7,11062831252049209.028264528930545577189767534107552554997293023551336267170246923036735905576000358487130569904844088076548847637187294971916955943239380103663860113472740208290291798500491165678714614310955699353607590397635862272984143145807423018108223206504526556632905743776967422949592193429937989812125106873247788760189830771261003040487203221462699052495541445619145599140808874619350433140503591668308187233395202144572550518714493756664235885789768623271921796540228705515641011455044534894,858085.13408380514913094293089496022108753461666949935454067908470993462366335524095512083674657263026988372402049515000465216625466078009971174603520404850821142181239742079852540093335876884694795703877722381959862323428603325551423464651305124315105041321656135693431875724267718912192982714348996208203835866719591693512602655117008854568809164262936155606008062332053477997058745978819083304030359838616974791391362194100238266890626588039423624498822838399036451594052879142683813465201284311677,5451652.3102080145619199822548937742129501309796870891068055678405049230843502247378473762320170588117273253419678522707534026384519956296279838412060440503183666825009332204742118868191400733514591479645689108092918973270566679473844457646674242145911857356538988167246685129777880594757444252922747025286356375024749636401275221776920089317164011995304979158071166811603870257300756429476947329020516936155360348922866882606799293219227039913699140063324080692087576878724231063403035740896757539498,0.00025644368379735478421622002746461617960495729087686847375570158693375878670836045103017052823905898546299690763287938795801467583017321419990149208057518542178739103550216375265710958246940259468883041854352032549318372698295204810159436938929495298029898777690670306611047555691974759049279654027758004897487943351070086015204808374387891042423157035668798869059390882818069978375989520418901022030028976869259444584643778182059934186784412245387945732287359333927138492920452716782549056065878975813,0.97760000000000002539021234742471503725370340934404974480994128525476659249156997028120117977440046896618825951770442086177786767479074438461441034843797276931976299898872927453924241547436836181529925202886775434881381624664095876939899545038552447367325425270336813723150895743101598874723403817305853556932297669661736859888119939105120476892277294628039138847438742919670103714644274920416486382970445976193376370528417016204859992154969815089747155835269375206170475111526471071926250072338525107,0.000000002103105170000000000000000000000000000000000000000006553481483153558411190937927117822245423703171414807337307562972309702980229589087419740612780461042063961940584704279899597167968750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004625823334845077990213147339,0.000000000000000000000022723861925194082887630302428895059137129394247812540384544162133081509438916530622087630682602438123836922725313479526298371517168470791633199907004729362433150987290221462611411706914638307947037405089352730228072374013709922365221118862632581460655150652931003885026891668480814959466346886585679340448230019111974178056391741344386922330162167379613290843523278699325559517058298474075597069311260674813637006600615494489667496468407167741745540191364751832254147925353594104638419270399841642508,11062831230242573.517822794153954002495701179182789413868788253897619223889035202131718135760864736750065307709754120425919731268664760717490609823408531373973272255150197528564159314382378115696982942849004392478228153909983120007573764385473500339013633398481063379957709156704586044422855364075297637301254631860185741237272826543062323322008939986276480390142039715113794068274677400417443134379344971814808201722491165830464868147887538601411775634771883591057675294501230202725243930171966350134
8,12638492276019955.60853806293546358675900347073010670835284627595331683559477735158790247401050771153244048311111181373343682821514318946798844840570891970302172515773223581497037642902666203322641933882550486776498908159695887203258661729972140544498938460364000711853136420611320178522502691525804717085074665568658272478319032625817735887516769003573606334784025240879678445735880304819337325327560579281422955773604383303700361301125936741880584554152687325417028675994835252807808453313332981207,1110502.3046464354920377163975212373976963251592111492822216581615422438615272993427210205735109613519803772157422397231133580467300311065383703414493462755074842867234713074265663260860073975140286327600619531828799988846430168834825190970644915261804912387858518237362629590206451291138511165383559187388429328397286135755668895048414372757073772977508751653855653718433074724591421652705797196078213407182261087381316291468166910489241849450292503363694767932189591588206911746094430799558737308816,7048229.6246545694860071128745129696461312584745725956285118932490758653083980827737392142378912979965456305036070645442502185873950763657998458378442645114094800131360264741233983488904564931903819605101079355828802011892965724852913661275346974659955748571907519644033221224607021511099435206331996277656873505708080016707813040001850330651584623071092633551441501865053667115377084222341930906831129355722390752725668531234461543092955635324947117225205140558459254495773532895464744963248980985283,0.00019513544207481453005489032215428991801131870936950119984204582477143822433483311293985458464873802369775926854603033889225859118527374845959470574872893234372699895119676047731312195657359199302547842118394905823718302424900236819283644368849733130818905119550579418730081129590183700269603477005386831433057564384698405370534053299014974602864586364489905911481275525660407205696394576596097313062059020133480746882023905255050090219211985114236186709275145881764302482495979173748057556618430775281,0.9776000000000000239226067578312892130523299622281263713957046220999992006263721344842836491676105116649874414859706359979208320632214832103696346607148115045196343159483289971099324167865359630918307744416036152805530970497262844494244437478030772963960119660871930373447615636154231855212021285465089886517661729599342371514024411904798023688958842860212020284763024007566030999211545138047237579764707276455154706142587307120198583114298799547955641407684989506188776163320901205953533247663897831,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006661293210163900450058930578,0.000000000000000000000049546296104493929253234819109643116778637343640860407933893205447594862350996017533367997467389513184965035321683000453413109718272781720293967324727995630058669845688394329015057633946867600587309682250363077235604501510830208812059631424688637533799095463924054230312469093521866321475646529204133191147266024353211553132417838163256463690193375536968283694472972255625871266756323466207523062504951243497634176431239412701296649698318055352674011162030390423699076014929604175436009181597588844589,12638492243502349.281895616537633145072649838982935470604264704998088776256928095859147863364267619813374910386105142777122013455506933500711664961827204899466052062963899072224649147905565585923585273740315126084552912780518484653758475876576825821496249950396336173933077251474382407571799083823764193319926833021140214383639061558449587209235603120253732529905509767160748126865548365592572233175767747237087177519496454183518442025611449778843472192818173543068600806170901414045754206574884161721
9,14215116210623279.909880888843372006240050428895353088949207675533281601022279624508833855441064552254705301513707988376841266116360608296780077637704934960226042492578454074828609191013039461007163997405225528282588033648759830499024894727630434228445679231070964253923554226834498535650060926715320282725416437453985483424407255497405647922563628302552698648568644234280102493281499601313982214916938280691063438441781663490667972835507370955143768023541305940351797645523708380344397224364510635417,1394471.6059680077865599897228549765976279989837760034619585958244633207818154373842475547208736996934583494960491352978295882234090857942234321917262923256661798395877052522943648518617220356867909663645198237904925420868798539156242467670412929377936548619483016393231667736178917884044513375785819605388687813821669691705639411055759938011227015178882691550480844093443232414295800818969580615526697149279829027841075229287284458318464308245020976413981272455708040271289266224046074855078392358173,8842557.4889486800975207472661279123144444137793503415546232435198909696209724304804101945787763931094518354835028155804212137869880332896898739872155760682560634847575790176152188051467116803718192305590448237933290135311790082249673829792839687097510550075407334112253783518447059318859452516762379448431908102376993224776481103127762918892115037933444439846395703812042179223919976982846789012817001286374843946166929627240121182708022658255076151478846139241768441128824575600569527916574208696722,0.00015331832667978521150485786867590123010379576150968480163501843563098764773263885040851067354000594808202719640033952230502828487920505333589568777949768224966282209203031041302896640098934103035733374986634164751756926242070043110817950102247706251591703473995022535346472874344720042423550532755777559663034966319217419827266058509125804077023064175609169798458158454988354074936428712001550446891616913812616479221186434303106155944088806301259483986007052474655874918617675628251385728106904757798,0.97760000000000001778740060862172712076044222963485932410075459678940918335436537796067568202683466298770958413105747443665774999227548565179182643702307146244976151221539822895467407016732706807841043798953701844085020490372133753964398641759728191064387243150744807438930064052000095405145424340231677838078941930849189713456822273541883197562293410133142846027503792513593000678065150395835962483927762980662979447807599719285457032132933858470459324013679374203972134860887243827944003390537554967,0.0000000021031051700000000000000000000000000000000000000000065534814831535584111909379271178222454237031714148073373075629723097029802295890874197406127804610420639619405847042798995971679687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090519958331045891184945444565,0.000000000000000000000098608715823073545180355025983552937348752797782466986132712857824092883718221711961904987704177196861247463407738704890696925232455085313919361782109831073540791097257145264469708129865548373953692116929521610131479177177626325076217192743848759339579096726608797451711627070726113422539596825505199186842118761716377987863247284283861408990594340059649889962741202601540971189865733162674102218642027322625103906136936958692100847449563625398861872619476434754358852910001444943723262549402807474283,14215116164350816.619549573645114770688691073659869348789321152517716650903630806081040491149516422589515942046248968438166185122320955891941260058524109198429621404721861446526406008236151719246085876695283453435356997329899638315367812791464754424533584370222773799568542725415481595884515154357426206443622309520831110429957472196587651402204087206644263307563244021406009156036887985003073162320932375301213449055122970114142909320283968254564260791175365698392497715049460974493395983785833648193
