,phi0B,mphi,A6,lambda6,ns,Ps,r,phi*
0,70000000000000.0,98.151912580473433412953180553939260519294752373,620.7672009120616883599837317092881649302613640918,18.52569020328627055357847961784389845416358737837,0.9776000000000000000000000000000000684047030273502,0.0000000020409490229434265,1.196875001411783937293026593166428301430726061627e-35,69999999999994.5739261178299749319868656896721123
1,577288135593220.2,5299.692743284262059182443387597930545681501148081,33518.1999356885913259325893684536446392389364753,0.2162459359675095503511049342247593811754338772715,0.9775999999999999999999999999999999999525788781977,0.0000000020409490229434265,2.373240930549310574306588886022405024024605418904e-30,577288135590176.7268217875514454856020896676937505
2,1084576271186440.6,17531.789893145631933892762323763853689158875131,110880.7750437204201021300664507873919050355371092,0.05741873944052128872209570614047661855489840078752,0.9775999999999999999999999999999999999997540438141,0.0000000020409490229434265,9.167013996748040584910039113223217175360945052467e-29,1084576271166258.243271410544084296434455970715304
3,1591864406779661.0,36337.14249891208866048128015964319549784258894228,229816.2679173293919075477233648246591794102101322,0.0256445022295435152003201166041848960825560608356,0.9775999999999999999999999999999999999988931063882,0.0000000020409490229434265,8.483379031141644041157021683535736762130399343633e-28,1591864406715847.906429845232444643577710251257938
4,2099152542372881.2,61475.84575685161678086921401377697230385426984008,388807.3873536978420331116208752758646300271775185,0.01434816313453086786095867031672803584794672028853,0.9775999999999999999999999999999999999988031404753,0.0000000020409490229434265,4.222330320658242516339753672294716386700816080815e-27,2099152542226554.499506610957884669266419726386932
5,2606440677966101.5,92785.03892656269643594232363586932230722942063297,586824.1115906453532448304137551429091913907324089,0.009110754941365180542436409693912179011139701791391,0.9776000000000000000000000000000000000000196269308,0.0000000020409490229434265,1.482882641040415398189680629795865927031521627275e-26,2606440677685987.305788008505591191498061506047522
6,3113728813559322.0,130142.112096082637889913600588278370229144570272,823090.9874571422724314467375533497753732056604272,0.006274259822672797362361999089301705186370794762707,0.9776000000000000000000000000000000000000326389085,0.0000000020409490229434265,4.163441389236871101675961574624669816905120928443e-26,3113728813081755.408658370456132015720083639923197
7,3621016949152542.0,173449.1764592181356034650731504018163762108612177,1096988.911783177311504833827320737446710502489604,0.004572121914151647582969846618989178751002836662274,0.9776000000000000000000000000000000000000374701879,0.0000000020409490229434265,1.000139966520935767139541926156947117658470389331e-25,3621016948401467.091620695484611416639637056510426
8,4128305084745762.5,222625.0323723107485322607639162898897439344505584,1408004.332930441022409845015652925879082913052036,0.003473398787673528144374477834289038096778193258364,0.9775999999999999999999999999999999999959280619499,0.0000000020409490229434265,2.141641348014970709220291882957175295189172362698e-25,4128305083632732.33831680444639863035926698343022
9,4635593220338983.0,277600.4794723618531047547972070304319621806916181,1755699.589374961216885988331747281117405878027331,0.002724373996955589482031480982409749486261747454242,0.977599999999999999999999999999999999994837811625,0.0000000020409490229434265,4.198616853158180712486873628407204004875962681646e-25,4635593218763159.63254711218873816103428502119574
10,5142881355932203.0,338315.3438923901650331527559899560979930154989615,2139694.108166176164887121378012643532761726446915,0.002191610962026149401604288601358931598940407428792,0.9775999999999999999999999999999999999937275265335,0.0000000020409490229434265,7.675586742065025477798190185068647119351924989085e-25,5142881353780357.458290071988064728622567817129945
11,5650169491525423.0,404716.4779199989417562205848085095802151585212188,2559651.753656883303916978086660225556954331857951,0.001799586698199853297767426292194506777176843562708,0.9775999999999999999999999999999999999999949675152,0.0000000020409490229434265,1.325805780840781351979961840471042820546757426692e-24,5650169488671935.299721338929881253933154983617462
12,6157457627118644.0,476756.351232586206138686250447600812471000110132,3015271.917692392955335595550026497989570166843298,0.001502998511210716370253008971227315941403596603463,0.9775999999999999999999999999999999999999955228152,0.0000000020409490229434265,2.184997886807474834498894473365343407675405167316e-24,6157457623425503.141232688892126997162349233155205
13,6664745762711864.0,554392.0223870627055703598112044519294505651595687,3506283.014740352020547646772923567052157505673343,0.001273357685961880828833408163271528849246540021471,0.9775999999999999999999999999999999999999970053791,0.0000000020409490229434265,3.461435964511084477180640963798575271814157152261e-24,6664745758028667.96745072631434135871146657241072
14,7172033898305084.0,637584.3656769961464024815452565667950605056958629,4032437.592105982167505506000886133061921649048798,0.001092033887746855260140999591278732665168714972223,0.9775999999999999999999999999999999999999980238748,0.0000000020409490229434265,5.301700230928459614053633463379872333593241451205e-24,7172033892469039.763255379529468655543514045845325
