,phi0,mphi_phi0,A6_phi0,lambda6_phi0,dv,phi*,alpha
0,100000000000000.0,95.984200151510249640061343568438,429.25439260944506332243141782826,4.3497824919682971829719597061844,1.87320057019465e-23,99999999999979.025094452733862696,0.99999999999999999999998223263775
1,302564102564102.56,798.26245465553582623123359570501,3569.9382249912431533556552038494,0.4316620737283746078074142890672,7.45012779791301e-18,302564102563521.5944963110469461,0.99999999999999999999865269250827
2,505128205128205.1,2130.6991542331990394729930276452,9528.7762969334836916847621075067,0.14831444386418428003143445506744,2.92632771325275e-15,505128205125501.75885180762544024,0.99999999999999999998999608683772
3,707692307692307.8,4066.408023388570666619142511877,18185.529529094797453487309323577,0.073468444367162881680282479685365,1.49181721687764e-13,707692307684873.5637232484060418,0.99999999999999999996257365466784
4,910256410256410.2,6589.1374756252865331836298092227,29467.518617179008572207883014176,0.043495204321998378607626264059096,2.80932957350339e-12,910256410240590.80467310686588623,0.9999999999999999998997687045809
5,1112820512820512.8,9687.2651155321870708759779618781,43322.766628784648221405515827265,0.028626515398666949964174678361007,2.92713806428241e-11,1112820512791607.5897640747023545,0.99999999999999999977993499560481
6,1315384615384615.5,13351.779491621353843862695554848,59710.97312770586190393004452647,0.020211377306619920190047508316516,2.0593061421508e-10,1315384615336878.1520591086666297,0.99999999999999999957650150355109
7,1517948717948718.0,17575.344647225210891463300285251,78599.330718365264264833725604859,0.015001795536498026548800039602299,1.09519645127198e-9,1517948717875355.9746214746692193,0.9999999999999999992580532609421
8,1720512820512820.5,22351.789263888390570633054202939,99960.240425608853194367807608678,0.011559749747128033785868212213647,4.7237197612116e-9,1720512820405995.290514789396057,0.99999999999999999878839701446572
9,1923076923076923.0,27675.797258535158794208868171211,123769.92800317387352019674489077,0.0091702527470755871456007248533642,1.73138073367948e-8,1923076922927750.0828030602833374,0.99999999999999999812661638977141
10,2125641025641025.5,33542.706365561571270217591935394,150007.54316542116813266918701145,0.0074457113699814456876524927381407,5.57182430375586e-8,2125641025439574.3345507238034045,0.99999999999999999722711937690798
11,2328205128205128.0,39948.369805717333895803189676592,178654.54095176805055716148744343,0.0061614352123737276082724526631257,1.61212071027537e-7,2328205127940422.0288226823928232,0.99999999999999999603967995732555
12,2530769230769231.0,46889.057265283867616243480621764,209694.23889211023519817019229003,0.0051799922402263400683000711178925,4.26883724316849e-7,2530769230429247.6486843399626973,0.99999999999999999450947511837675
13,2733333333333333.5,54361.381632669197910728265726459,243111.48936291365690776556400745,0.0044135483247607780847555676767383,1.04873300363048e-6,2733333332905004.1772016372951414,0.99999999999999999257711814492162
14,2935897435897436.0,62362.243307639612953132828587774,278892.4305305270078930452192041,0.003803872936076258662143309791742,2.41613538783081e-6,2935897435366646.0974410845731064,0.99999999999999999017868884504628
15,3138461538461538.5,70888.786904034534835746279322618,317024.29271983615944606870687475,0.0033111441800209242179317972930257,5.26505658911478e-6,3138461537813127.3924697948355308,0.99999999999999998724576120865742
16,3341025641025641.0,79938.366939796964544838337864979,357495.24497541569997699143002839,0.0029073935842776009158055828192057,1.09278639217499e-5,3341025640243402.0453555157284714,0.99999999999999998370542888633422
17,3543589743589743.5,89508.520200289353136299481989113,400294.27146652016553116816709959,0.0025725180096239634594514065939743,2.17274328531648e-5,3543589742656424.0391666606664753,0.99999999999999997948032879517652
18,3746153846153846.0,99596.943158658980854420519867392,445411.07050788820099163150393146,0.0022917717634738637950330580661137,4.15812289886174e-5,3746153845051147.3569723392877367,0.99999999999999997448866309858206
19,3948717948717948.5,110201.47329703698282757635242433,492835.97102560512661019613278347,0.0020541432943247736319782344156642,7.69039934132608e-5,3948717947426525.9818423872502058,0.99999999999999996864421976160711
20,4151282051282051.0,121320.07348396709435566876394108,542559.86269084032026308245141558,0.0018512773534070207636989722399415,0.00013792650790893,4151282049781513.8968473954101358,0.99999999999999996185639184866602
21,4353846153846154.0,132950.81877961882776099416595332,594574.13691096664708948048982345,0.0016767429594412049712591484406463,0.000240583705192604,4353846152115065.5850587378234242,0.99999999999999995403019570299967
22,4556410256410256.0,145091.88519346488921700675522813,648870.63655236541758611951654107,0.0015255260607032689069405615660867,0.00040916926556666,4556410254426133.5295486027773314,0.9999999999999999450662881256468
23,4758974358974359.0,157741.54002962189466814235023582,705441.61276347747000015406251181,0.0013936714640091344932831821945937,0.000680007065667891,4758974356713673.7133900136450469,0.99999999999999993486098265421147
