,phi0,mphi_phi0,A6_phi0,lambda6_phi0,dv,phi*,alpha
0,170000000000000.0625,(291.86379233617483526108091524756 + 0.0j),(1141.3846155633600839041437713157 + 0.0j),(1.5200649698377033700649332751267 + 0.0j),(0.002822917612137405246863813450136 + 0.0j),(169999999999856.3055796756179321 + 0.0j),(3.9999999999999999999992058314582 + 0.0j)
1,176224501537023.1875,(308.77360687206522088771333323469 + 0.0j),(1226.0677258728994008227701745739 + 0.0j),(1.4005806547335541013082785430831 + 0.0j),(0.0036361323854483655711937564789018 + 0.0j),(176224501536866.36588678314629249 + 0.0j),(3.9999999999999999999991198890584 + 0.0j)
2,182676911423367.09375,(327.01547034885948507983602613068 + 0.0j),(1316.2826672076032334730164738374 + 0.0j),(1.2910891785543813623597362779658 + 0.0j),(0.0047072371757758026532219927466512 + 0.0j),(182676911423195.72885658684765926 + 0.0j),(3.9999999999999999999990216810317 + 0.0j)
3,189365574458270.125,(346.69054361224900358591671064814 + 0.0j),(1412.4966310990325948154684335022 + 0.0j),(1.1907128418779355565636161024114 + 0.0j),(0.0061228352121706814195339344839846 + 0.0j),(189365574458082.55813818474747122 + 0.0j),(3.9999999999999999999989094204992 + 0.0j)
4,196299140983415.84375,(367.90669854995355094880483297942 + 0.0j),(1515.2065623379685938585483299101 + 0.0j),(1.0986484876674433139015931218211 + 0.0j),(0.0080009762509551493842443736516842 + 0.0j),(196299140983210.22203332884592533 + 0.0j),(3.9999999999999999999987808583217 + 0.0j)
5,203486578070284.03125,(390.77648634465364895543981845674 + 0.0j),(1624.9294718634663534476000461285 + 0.0j),(1.01415608135163931808873251714 + 0.0j),(0.010500340469477105988781425575974 + 0.0j),(203486578070058.2818816447758107 + 0.0j),(3.9999999999999999999986335728448 + 0.0j)
6,210937181117120.53125,(415.42176275106883648421895307763 + 0.0j),(1742.2248266268170207216892354309 + 0.0j),(0.93656831529784035138926264441742 + 0.0j),(0.013836662357179952732774446274134 + 0.0j),(210937181116872.3385758125507147 + 0.0j),(3.9999999999999999999984646858104 + 0.0j)
7,218660585870526.375,(441.96830574615998410769158685594 + 0.0j),(1867.6687490031058316422572931661 + 0.0j),(0.86526972469430633591147629070477 + 0.0j),(0.018301984474513818204407597856817 + 0.0j),(218660585870253.15215561752820894 + 0.0j),(3.9999999999999999999982709333809 + 0.0j)
8,226666780887217.375,(470.55916583148085283929083093114 + 0.0j),(2001.9170672683915593348405815679 + 0.0j),(0.79972012737461672068730696467447 + 0.0j),(0.024294679134750917975102458206173 + 0.0j),(226666780886916.23331163784612787 + 0.0j),(3.9999999999999999999980484813349 + 0.0j)
9,234966120452067.78125,501.33273209270260620196309895285,2145.6017660607063645501017651458,0.73940374718815371487639554281588,0.032354482631811618773365888820635,234966120451735.49805757486497203,3.9999999999999999999977929827563
10,243569337969140.875,534.44557544422301787698133179809,2299.4384938137444074240206401545,0.68386999947508941786384324543224,0.043216891269270657686331523305822,243569337968773.85378323428164377,3.9999999999999999999974994307839
11,252487559843027.9375,570.06265905485932986500208174241,2464.180156382931929373339156028,0.63270731619229155568723168531775,0.057883656724595848008479619510255,252487559842622.16893484712090441,3.9999999999999999999971620529537
12,261732319868452.3125,608.35942961301023373393443674352,2640.6265901615158539624375884413,0.5855423358385739048216253181733,0.077720146017659314877482295192524,261732319868003.32458695110465466,3.9999999999999999999967742033316
13,271315574146745.3125,649.52355499297785441249247123728,2829.6324143055698474275902781304,0.5420372754468711770692909193036,0.10458918223351749810436824649756,271315574146248.12155583366504786,3.9999999999999999999963282129159
14,281249716548480.15625,693.7553905826081245090670067766,3032.1089764543972956347896936666,0.50188586673480062611783429366407,0.14103147848470612212105789570171,281249716547929.20703172241465901,3.9999999999999999999958153012201
15,291547594742265.6875,741.26910152717367001018971702836,3249.0293286532986822383065957951,0.46481033840633930499846660960158,0.19051644640354374324778952733803,291547594741654.7890391504320706,3.9999999999999999999952253317945
16,302222526810434.0625,792.29437747550176515031436043379,3481.4358891140313439798031027453,0.43055888581359609630199649270311,0.25778222109516666144678159040663,302222526809756.31688681792095513,3.9999999999999999999945466539144
17,313288318473107.9375,847.0781096274312645321570513896,3730.4479006340662627940542395213,0.39890308171346841367664902857978,0.34930382054317493074919196715169,313288318472355.65921830943108252,3.9999999999999999999937658465793
18,324759280942916.625,905.87764083246748705125735756553,3997.2306684270209772196595061485,0.36963194737555984915231172134638,0.47392240846332274904636404167223,324759280942081.25178791591859315,3.9999999999999999999928674905509
19,336650249433457.5,968.98019289582752986360868288581,4283.0836609732372398481598008926,0.34255832764435612008674749034807,0.64373711742611999333725785839841,336650249432529.49315116988810965,3.999999999999999999991833805284
20,348976602345444.375,1036.6852804753002982616991008122,4589.3605195181959443762524815067,0.31750806577370812018806417246734,0.87528123663498804677002166645718,348976602344413.1095250550096057,3.9999999999999999999906443552656
21,361754281155352.1875,1109.3164970835788064136256417569,4917.5224578607236995790377166101,0.29432309713527958017052761449803,1.1911709839526465799007867833048,361754281154205.82572089860222325,3.9999999999999999999892756000263
22,374999811032272.4375,1187.2186944856184085340372491845,5269.1253963397752321763251901383,0.27285836472227774592790572395556,1.6223367423909343132564317018572,374999811030997.79507692294442527,3.9999999999999999999877004571133
23,388730322209649.125,1270.7671992297322061066341209755,5645.8614910836476656446652788915,0.25298231723390276905907047238079,2.2111084844419238862994068854793,388730322208231.51526317482978566,3.9999999999999999999858877680193
24,402963572139540.0625,1360.3552161718285044583743912645,6049.5022436718440082648345563779,0.23457243035231326805054703664515,3.0153807308144935042305673525706,402963572137963.12543673838673395,3.9999999999999999999838016383432
25,417717968458051.1875,1456.4117379833541422388486231155,6481.9792291428622902962122424033,0.21751772926229019159050426185029,4.1144030620585986798191858760136,417717968456296.70031143157179484,3.9999999999999999999814007731633
26,433012592791637.1875,1559.3938289845216650835161900144,6945.3492378273544619969342919683,0.20171571187322827335809726692119,5.6166221117271446800387458057369,433012592789684.85088403479173163,3.9999999999999999999786376556452
27,448867225435062.0625,1669.7913161781168531209775461122,7441.8153814857617409010107729496,0.18707210139948386598708814674166,7.6704769167169013352406956740051,448867225432889.26649551926304321,3.9999999999999999999754575628726
28,465302370932943.5,1788.1294700500189148253915861643,7973.7391220042591526255726114419,0.17350014255675097817581356547324,10.479152573763459133018895993046,465302370930525.05914923143601064,3.9999999999999999999717975258274
