,phi0,mphi_phi0,A6_phi0,lambda6_phi0,dv,phi*,alpha
0,170000000000000.0625,(284.82868426862314426586867494971 + 0.0j),(1105.7335484266734917023482509308 + 0.0j),(1.4794076679671858948576291846486 + 0.0j),(0.0026116641866179104459085523674267 + 0.0j),(169999999999838.42011547281883171 + 0.0j),(3.9999999999999999999992278635071 + 0.0j)
1,176224501537023.1875,(301.17458044593353833658173330327 + 0.0j),(1188.0856507057265024657225883031 + 0.0j),(1.3628024361735623641829624461049 + 0.0j),(0.003356009236114022724131428452463 + 0.0j),(176224501536846.9898413242432105 + 0.0j),(3.9999999999999999999991455204041 + 0.0j)
2,182676911423367.09375,(318.80678780400057164823625086611 + 0.0j),(1275.7577075935991037552057228383 + 0.0j),(1.2559602194641020391813848854661 + 0.0j),(0.0043345493054700661940912137297177 + 0.0j),(182676911423174.69657188400697088 + 0.0j),(3.9999999999999999999990514789328 + 0.0j)
3,189365574458270.125,(337.82596643697135460571124283654 + 0.0j),(1369.2162100480325190224126538529 + 0.0j),(1.1580370512593942062197583365026 + 0.0j),(0.0056255063024679853167995401597028 + 0.0j),(189365574458059.68793189618372958 + 0.0j),(3.999999999999999999998944049408 + 0.0j)
4,196299140983415.84375,(358.33540472383172147319970378125 + 0.0j),(1468.9370398013767318132244019668 + 0.0j),(1.0682424357174753705834076442117 + 0.0j),(0.0073353951316451794044378420523762 + 0.0j),(196299140983185.30726788631428337 + 0.0j),(3.9999999999999999999988210805614 + 0.0j)
5,203486578070284.03125,(380.44641749110012413142315034028 + 0.0j),(1575.4324431175581663312805084934 + 0.0j),(0.98585927615005638200772931577438 + 0.0j),(0.0096073172144384849773020853875723 + 0.0j),(203486578070031.0899921614356369 + 0.0j),(3.9999999999999999999986802712911 + 0.0j)
6,210937181117120.53125,(404.27568856638388636502138361547 + 0.0j),(1689.2380935276789912798609228707 + 0.0j),(0.91022901939412905198560815244697 + 0.0j),(0.01263553326952011164779470828836 + 0.0j),(210937181116842.61096479319009627 + 0.0j),(3.9999999999999999999985188797178 + 0.0j)
7,218660585870526.375,(429.94837351175114183807973818641 + 0.0j),(1810.9280604965232395344754281788 + 0.0j),(0.84075558569571635838413572777275 + 0.0j),(0.016683138734151446098899345599315 + 0.0j),(218660585870220.59792453100822267 + 0.0j),(3.9999999999999999999983337954626 + 0.0j)
8,226666780887217.375,(457.59643863011818180717605802114 + 0.0j),(1941.1067613159380504096407716699 + 0.0j),(0.77689517248386757444018511695791 + 0.0j),(0.022108070277371805621144550895451 + 0.0j),(226666780886880.52938748205774024 + 0.0j),(3.9999999999999999999981213558687 + 0.0j)
9,234966120452067.78125,(487.3621924802808940664449279384 + 0.0j),(2080.4255293215194815528493005459 + 0.0j),(0.71815780890775456232202912868373 + 0.0j),(0.0293959774171211786259113656788 + 0.0j),(234966120451696.28031205159551184 + 0.0j),(3.999999999999999999997877441367 + 0.0j)
