,phi0,mphi_phi0,A6_phi0,lambda6_phi0,dv,phi*,alpha
0,100000000000000.0,153.83510303698970450781381432467,687.97149543278664834508226094969,6.9714519346328918296797504008748,1.24760827225669e-22,100000000000024.92976989296546167,0.99999999999999999999997139023815
1,402020202020202.0,2264.2229517869206439847220496635,10125.912872821566962227105999756,0.39282169853784240561017271153011,1.51900367221234e-15,402020202021821.80189359286899164,0.99999999999999999999321748457542
2,704040404040404.0,6697.5496251312266726366837323216,29952.352488943313357561537771667,0.1235359606711368144785832100868,1.09073456133092e-12,704040404049103.8350902912707336,0.99999999999999999993855675221419
3,1006060606060606.0,13370.656338663672795160453145475,59795.392954080843958031147790171,0.059145804277696076832549448524385,7.21078539360017e-11,1006060606085991.7910721877728388,0.99999999999999999974975285850767
4,1308080808080808.0,22235.389926176227823966666517726,99439.686762288151718187157737686,0.034417097739312307070458804529718,1.57400819681143e-9,1308080808136606.4315538996149381,0.99999999999999999929694498306318
5,1610101010101010.0,33257.828547004079699597475690377,148733.53083026836375630340070383,0.022425864352520491905885416293651,1.80639131082999e-8,1610101010205068.5182533461934389,0.99999999999999999840763510626599
6,1912121212121212.0,46411.871443380113682488467220297,207560.19902075843163989674879348,0.015733856824016205793892644874279,1.36148992828119e-7,1912121212295498.8128925957421207,0.99999999999999999686737288681995
7,2214141414141414.0,61676.366079384020820870376727029,275825.0943173297214734583689188,0.011629609905551317938490646862627,7.62783464038911e-7,2214141414412018.0771986843530996,0.99999999999999999442027976785584
8,2516161616161616.0,79033.568828912232357977387368952,353448.86481171239414952431673308,0.00893563153719205417610416567059,3.42779689424171e-6,2516161616558747.0729044132159589,0.9999999999999999907694726434012
9,2818181818181818.0,98468.224134361402604951031936566,440363.28557623495993600904508936,0.0070743714853410193054916312484452,1.29902367240161e-5,2818181818739806.5617491279207541,0.99999999999999998557741876570246
10,3120202020202020.0,119966.97022173620544834341445134,536508.60094099034216504355412742,0.0057358611108057912933869997168187,4.29835181541904e-5,3120202020959317.3054794825389222,0.99999999999999997846624064800138
11,3422222222222222.0,143517.93355453526907621619111511,641831.71083647775553517658573201,0.0047417771004386385425980683305161,0.000127341683745513,3422222223221400.0658501904993061,0.99999999999999996901798299189306
12,3724242424242424.0,169110.43994929679437918265478506,756284.87886304742569858580290152,0.0039836982791829367143493596410949,0.00034415392530003,3724242425530175.6046247638166441,0.99999999999999995677484981561152
13,4026262626262626.0,196734.8016551838913031327397955,879824.78008185861851358629997133,0.0033926619138009646268457770548288,0.000860742869642244,4026262627889764.6835762419104226,0.99999999999999994123941759190878
14,4328282828282828.0,226382.15600146965635374270922571,1012411.7794244962255130328745,0.0029231254609431079373492028866847,0.00201467601325415,4328282830304288.0644879110211008,0.99999999999999992187482866864369
15,4630303030303030.0,258044.34026742623248998900514093,1154009.372094102575532056874467,0.0025440431388202162387641559557273,0.0044528038163543,4630303032777866.5091540150584747,0.99999999999999989810496820579287
16,4932323232323232.0,291713.79273165232121741736463905,1304583.7410445172301144051827807,0.0022336680682641165628283020016846,0.00936066616495995,4932323235314620.77938045858508,0.99999999999999986931462713405448
17,5234343434343434.0,327383.47310579392345288295511205,1464103.4011490587031556206357519,0.0019764038269301240888550903924318,0.0188283104526976,5234343437918671.636985502534367,0.99999999999999983484965311452405
18,5536363636363636.0,365046.79762299063862850836894013,1632538.9089072312601966879461946,0.0017608319252734846586734206710095,0.0364165103446727,5536363640594139.8438004531811828,0.99999999999999979401709109016677
19,5838383838383838.0,404697.5854075104586659614606771,1809862.6226024404007524185888209,0.0015784390934032242000185230652387,0.0680104630372275,5838383843345146.1616703448155535,0.99999999999999974608531472620248
20,6140404040404040.0,446330.01366749139133245973061702,1996048.5019178416271178034466757,0.0014227745486252423873587976246867,0.123077286953487,6140404046175811.3524546165161573,0.99999999999999969028414981067998
21,6442424242424242.0,489938.57988583863561754839069988,2191071.9388488922760440206211377,0.0012888790023231640610803155980894,0.216480173430794,6442424249090256.1780277833745311,0.99999999999999962580499051000049
22,6744444444444444.0,535518.06963165680817828826925742,2394909.6137517002386305134989681,0.0011728897572934549500503193543105,0.37104712270261,6744444452092601.4002801024829851,0.99999999999999955180090923421726
23,7046464646464646.0,583063.52893671359023983837671889,2607539.37180681383133609211219,0.0010717625019491077979634093356599,0.621147205287966,7046464655186967.7811182339669445,0.99999999999999946738676075460082
24,7348484848484848.0,632570.24041736015098546436236383,2828940.1162332035850228820186205,0.00098307201868702265983568732755785,1.01759376070406,7348484858377476.0824658973148717,0.99999999999999937163928112475128
25,7650505050505050.0,684033.70249780146276859999372948,3059091.7153719023942494067998023,0.00090486724156915465023084348072899,1.63427354477095,7650505061668247.0662645232351825,0.99999999999999926359718188172818
26,7952525252525252.0,737449.61122293166823294835156493,3297974.9213505326430096524384808,0.00083556437329500876049817379902376,2.57699538144797,7952525265063401.4944739012489848,0.99999999999999914226123994173876
27,8254545454545454.0,792813.84425000114104159690592957,3545571.2984918648873513257505392,0.0007738670624588703967472461650022,3.99516333562459,8254545468567060.1290728232095049,0.99999999999999900659438355322631
28,8556565656565656.0,850122.44668644690737366941437159,3801863.1599786700824831799337554,0.0007187060911199025824110469466318,6.09700992927348,8556565672183343.7320597229232981,0.99999999999999885552177462670926
29,8858585858585858.0,909371.61850216623060702530701324,4066833.5115596956890676485912567,0.00066919331111908249668738080016068,9.16927676916459,8858585875916373.0654533120344288,0.99999999999999868793088772387611
30,9160606060606060.0,970557.70329256286537200548452854,4340466.0012964808012362200475157,0.00062458611080298407130093865977529,13.6024056042207,9160606079770268.891293212320468,0.99999999999999850267158595702365
31,9462626262626262.0,1033677.1782069185531640992072194,4622744.8745216641866467661073048,0.00058425975025017815194170443769316,19.9225049241595,9462626283749151.9716405845381683,0.9999999999999982985561940229736
32,9764646464646464.0,1098726.6448873027881849546301226,4913654.9333165568587298692180613,0.00054768563641150867045619155113043,28.8315885684933,9764646487857143.0685787539468455,0.99999999999999807435956857235372
33,1.0066666666666666e+16,1165702.8212880191897034089643471,5213181.4999265940666443963499657,0.0005144141252102513801853667931102,41.2578464422592,10066666692098362.944213832628674,0.99999999999999782881916609496979
