,phi0,mphi_phi0,A6_phi0,lambda6_phi0,dv,phi*,alpha
0,100000000000000.0,93.212676096019163554872251289764,416.85976023073712778177920916063,4.2241834163536173680184674894237,1.62535490997455e-23,99999999999976.3414365039121989,0.99999999999999999999998295764162
1,402020202020202.0,1333.7005302025296595507134408762,5964.49009432073535839780450891,0.23138468197290934683338507084522,1.75524970392619e-16,402020202018664.79423701622504962,0.99999999999999999999608581185715
2,704040404040404.0,3900.3581322781995932897110103212,17442.931840736341944870551047001,0.071941906488378965769802167237636,1.20057797405091e-13,704040404032147.78256389804438877,0.99999999999999999996499571054585
3,1006060606060606.0,7730.1175064136076211922822822732,34570.136436803986398613823482197,0.034194582935756348648635861429336,7.6942470840526e-12,1006060606036514.6685340300019709,0.99999999999999999985860712176789
4,1308080808080808.0,12786.657995827306498405489735923,57183.672967422159190853334317416,0.01979185701094773550807684383613,1.64153808195462e-10,1308080808027854.8142647141955019,0.9999999999999999996051801324264
5,1610101010101010.0,19044.478575476891066504403873024,85169.497381609375527775985433785,0.01284175521545288395222762417097,1.8500269492081e-9,1610101010002257.5818737395325575,0.99999999999999999911008094190782
6,1912121212121212.0,26484.006170783870431432352156497,118440.07622879327802401326535828,0.0089782107089954425490950828005649,1.37357665981011e-8,1912121211955812.3334794188044597,0.99999999999999999825629369666109
7,2214141414141414.0,35089.409628954706296257434444398,156924.6104413567919934122136497,0.0066164103325348674609306452194892,7.59740516046585e-8,2214141413884608.4312006051582385,0.99999999999999999690481117341641
8,2516161616161616.0,44847.430930735817384123364315259,200563.80835470389986637986518764,0.0050705051552742958869036553685287,3.37608998487041e-7,2516161615784735.2371566923816673,0.99999999999999999489494995647137
9,2818181818181818.0,55746.687216265276373879944802889,249306.76427197535484097824992477,0.0040050765402942993706447678318027,1.26677506503847e-6,2818181817652282.1134676018837488,0.99999999999999999204461402298552
10,3120202020202020.0,67777.220992679651654250590970606,303108.9469313149525781057450431,0.0032405646768593938068515250521412,4.1543674182281e-6,3120202019483338.4222537584012777,0.99999999999999998815052086759726
11,3422222222222222.0,80930.193581533262732131789592106,361930.82856105108539368379356366,0.0026739023420592836963434451655144,1.2208164991685e-5,3422222221273993.5256360559385227,0.99999999999999998298839921647839
12,3724242424242424.0,95197.666996437760617650218835953,425736.90940684612031328119572938,0.0022425509762120179176194417961846,3.27495672968915e-5,3724242423020336.7857358151020234,0.99999999999999997631316447431802
13,4026262626262626.0,110572.44333959743765456111399442,494494.99949116746065030907753715,0.0019068050699624791299474325048687,8.13484698184855e-5,4026262624718457.5646747327530986,0.99999999999999996785907626372778
14,4328282828282828.0,127047.94320683667455616440126168,568175.67482403884469870861431604,0.00164048741344237091834613032468,0.000189198750460805,4328282826364445.2245748247278171,0.99999999999999995733988126082999
15,4630303030303030.0,144618.11146879061769091944433255,646751.85604371553636206473771472,0.0014257809872908771048510059646237,0.000415689333440239,4630303027954389.1275583622453729,0.9999999999999999444489437492561
