,phi0,mphi_phi0,A6_phi0,lambda6_phi0,dv,phi*,alpha
0,170000000000000.0625,(291.44172210961959906626877652842 + 0.0j),(1153.7396962548422940024667455664 + 0.0j),(1.5399244347054290032178645986601 + 0.0j),(0.0027454301127096041122074526619599 + 0.0j),(169999999999857.67435380374794074 + 0.0j),(3.9999999999999999999992257478918 + 0.0j)
1,176224501537023.1875,(308.54946520929069927244186362788 + 0.0j),(1238.8640356484532792366305971224 + 0.0j),(1.4187667583934151814681765381411 + 0.0j),(0.0035475544353796719047899770960502 + 0.0j),(176224501536867.69076918610727529 + 0.0j),(3.9999999999999999999991404013992 + 0.0j)
2,182676911423367.09375,(327.01789662682296125063778285481 + 0.0j),(1329.6681327862779959800935290557 + 0.0j),(1.3078183250574533221269179680176 + 0.0j),(0.0046072569258897681527226222709909 + 0.0j),(182676911423196.98819572588486779 + 0.0j),(3.9999999999999999999990427564808 + 0.0j)
3,189365574458270.125,(346.94819315115580789458609388824 + 0.0j),(1426.6198988751082742479095987488 + 0.0j),(1.2061585226264534106762395487854 + 0.0j),(0.0060124142428824718233686091458208 + 0.0j),(189365574458083.7297030448508951 + 0.0j),(3.9999999999999999999989309183765 + 0.0j)
4,196299140983415.84375,(368.44877414146164695557293446749 + 0.0j),(1530.220031253543674171534293162 + 0.0j),(1.1129525136082500409479755073811 + 0.0j),(0.0078818087068150722701069293740612 + 0.0j),(196299140983211.27890651028009969 + 0.0j),(3.999999999999999999998802741642 + 0.0j)
5,203486578070284.03125,(391.63349898379376095547987301639 + 0.0j),(1640.9932741586914376263439647372 + 0.0j),(1.0274371995386088607081479939957 + 0.0j),(0.010376867105042062619575689786834 + 0.0j),(203486578070059.19833595285336472 + 0.0j),(3.9999999999999999999986556875136 + 0.0j)
6,210937181117120.53125,(416.62427762327152564184978679126 + 0.0j),(1759.5009357593971456228334754995 + 0.0j),(0.94892331836633675500619723456105 + 0.0j),(0.013716253072165024100201375995694 + 0.0j),(210937181116873.08217929883778296 + 0.0j),(3.9999999999999999999984869069789 + 0.0j)
7,218660585870526.375,443.54942662961493550698881812133,1886.3329488205582571002421709509,0.87678355118953400443264901994206,0.018197432853178727946794737050551,218660585870253.68997285110131425,3.9999999999999999999982930718959
8,226666780887217.375,472.54589450204774709065105838091,2022.1183126238560664808771543088,0.81045179928728131681495121339009,0.024224976671393371853538408242505,226666780886916.52992902198415551,3.9999999999999999999980703666192
9,234966120452067.78125,503.75993791775984514807943645635,2167.5280274498179259089600261613,0.74941710476855556014635235754015,0.032349916222909000900819618684623,234966120451735.51352932732671748,3.9999999999999999999978143911915
10,243569337969140.875,537.34660732725978809777548482953,2323.2725142369572564212044333053,0.69321645602386207339731369495814,0.043322404321579038433957002449207,243569337968773.54653735059425519,3.9999999999999999999975201202475
11,252487559843027.9375,573.47116231566053473943190826906,2490.1080450624465485465018426035,0.64143155406041586995244278708134,0.058165914978515336396798786841886,252487559842621.49035439070363835,3.9999999999999999999971817248089
12,261732319868452.3125,612.31054836251137886097293537742,2668.8433589629210246576532926414,0.59368502160463866301681755792757,0.078276359431845644355013973835878,261732319868002.2243651533197555,3.9999999999999999999967925235309
13,271315574146745.3125,654.05340703377959038451674007954,2860.3395052128952510607519576455,0.54963514848663349537381252794611,0.10555906303107441650684284713327,271315574146246.54288030440103828,3.9999999999999999999963448218863
14,281249716548480.15625,698.90191376879673041769323478621,3065.5181067434019290531674492125,0.50897306958596444592866347353967,0.14261623468848824239174453375635,281249716547927.08917695077927136,3.9999999999999999999958297571206
15,291547594742265.6875,747.07200766810047100913376335795,3285.3622371929724471108466266688,0.47141861382174682542074343613723,0.19300208664204947034779005818385,291547594741652.06449817726161841,3.9999999999999999999952371448405
16,302222526810434.0625,798.79574025224692705755940912572,3520.9269917860652635056130993107,0.43671813690723340855695627847534,0.26157348788045744422766041928141,302222526809752.91046129736886473,3.9999999999999999999945552742974
17,313288318473107.9375,854.31843680166395331014372375871,3773.3264476547441562406175389919,0.40463954589489916497641670739546,0.35496906581663456151475163368608,313288318472351.49015295960259159,3.9999999999999999999937706269701
18,324759280942916.625,913.90821803093840555831957775989,4043.7768442154825150558115649454,0.3749743571645539446411661366174,0.4822677282237202671079924374463,324759280942076.23006684372688615,3.999999999999999999992867684805
19,336650249433457.5,977.84782829578875981435404779165,4333.5593244773572852411625637244,0.34753051253137385062019928359972,0.6558813693069440048713157384176,336650249432523.51908715862150611,3.9999999999999999999918285842529
20,348976602345444.375,1046.442637258556703452508201972,4644.0561858905158729182060446194,0.32213376772509731260338782446475,0.89279176494867766973037832403981,348976602344406.07156459237774488,3.9999999999999999999906327401837
21,361754281155352.1875,1120.0191758129892234303728614532,4976.7441434228732671470970596657,0.2986246256189745647351566110556,1.2162269801445540476386170952475,361754281154197.60326856743114656,3.9999999999999999999892564940634
22,374999811032272.4375,1198.9273437352330076528786331997,5333.2042647868624698331651511941,0.27685714586076365080630300961631,1.6579717222349295441479388250903,374999811030988.25171953177144556,3.9999999999999999999876725837401
23,388730322209649.125,1283.5428384937138151727612987891,5715.1328889490623254238713066662,0.25669777291401811615609233267426,2.2615204322947966161764868267211,388730322208220.50104229157574328,3.9999999999999999999858496517746
24,402963572139540.0625,1374.2675352863169798464470814575,6124.3432978594766797909631706498,0.23802381823935419634885583527809,3.0863935611796850816849011432619,402963572137950.47318751106338537,3.9999999999999999999837516153217
25,417717968458051.1875,1471.5329814189192607932468512492,6562.781449016030401754055276377,0.22072276011159508929025985952921,4.21406368090486349580334325357,417717968456282.22436752379989954,3.9999999999999999999813369195073
26,433012592791637.1875,1575.8014284372395312531683563763,7032.5305953484159790469709766783,0.20469109251311854129537353624774,5.7560484446069782891624798892728,433012592789668.34725820820196235,3.9999999999999999999785577462397
27,448867225435062.0625,1687.568346517780078685954053007,7535.822594239295248615337681013,0.18983356867232131828749713870016,7.8650055927406503183419378383033,448867225432870.50618357179725179,3.9999999999999999999753590560985
28,465302370932943.5,1807.3647982688568076089142867274,8075.0485797021241557739821153589,0.17606246469299714804667617076124,10.749917890298690347621633567323,465302370930503.78748946353991736,3.9999999999999999999716775110728
29,482339284597958.875,1935.7603269559260036271854677719,8652.7719483798679137467719321403,0.16329694992984578811121483991527,14.696909013412738904926304898632,482339284595242.66974553079855999,3.999999999999999999967440187337
