,phi0,mphi_phi0,A6_phi0,lambda6_phi0,dv,phi*,alpha
0,170000000000000.0625,(291.50684819009589514387831672797 + 0.0j),(1155.4627878924210509215126813251 + 0.0j),(1.5395271756744087133413640745141 + 0.0j),(0.0027429842841419614646549548386814 + 0.0j),(169999999999857.71799558079287237 + 0.0j),(3.99999999999999999999922699038 + 0.0j)
1,176224501537023.1875,(308.60999928685628752925223475733 + 0.0j),(1240.5447141806676746688845843684 + 0.0j),(1.4183965660954256193416952356392 + 0.0j),(0.0035445491506369311761200999608739 + 0.0j),(176224501536867.73540561600504607 + 0.0j),(3.9999999999999999999991416823179 + 0.0j)
2,182676911423367.09375,(327.07978958295932989645902223414 + 0.0j),(1331.3350364649499828753194360544 + 0.0j),(1.307499880201141102850095016962 + 0.0j),(0.0046035716474819427214419122302996 + 0.0j),(182676911423197.03471289411260471 + 0.0j),(3.9999999999999999999990441097149 + 0.0j)
3,189365574458270.125,(347.00926546369257840392392180732 + 0.0j),(1428.2616851659555616845917197996 + 0.0j),(1.2058758975498182437974897818153 + 0.0j),(0.0060079028877296819335938993611112 + 0.0j),(189365574458083.77613472839135189 + 0.0j),(3.9999999999999999999989323324626 + 0.0j)
4,196299140983415.84375,(368.50970612315368856073956424241 + 0.0j),(1531.8395155506145779601612927371 + 0.0j),(1.1127035177313084750526838270347 + 0.0j),(0.0078763969362902445963925256317102 + 0.0j),(196299140983211.3281130620684219 + 0.0j),(3.9999999999999999999988042063661 + 0.0j)
5,203486578070284.03125,(391.69435392204695488721079528422 + 0.0j),(1642.5904201631663766562761714124 + 0.0j),(1.027217698142505723422461371817 + 0.0j),(0.010370207803462029085662968527084 + 0.0j),(203486578070059.24593341407112548 + 0.0j),(3.9999999999999999999986572266398 + 0.0j)
6,210937181117120.53125,(416.68564882026615757155575447466 + 0.0j),(1761.0783485688138654094972536464 + 0.0j),(0.94873099875000293483348247136921 + 0.0j),(0.013708324998885317923049885420671 + 0.0j),(210937181116873.13109211298626178 + 0.0j),(3.9999999999999999999984884988758 + 0.0j)
7,218660585870526.375,443.61256360942207748686715069522,1887.8963965249498524746004184952,0.87661740136663381296142834688997,0.018188101182274977204934243213619,218660585870253.73872201346628328,3.9999999999999999999982947186356
8,226666780887217.375,472.60495676959739994710584356256,2023.6405359996680452123916299281,0.81029780733881243593995243010337,0.024213423884463082545105996986533,226666780886916.57655234921336987,3.999999999999999999998072069401
9,234966120452067.78125,503.82647289933297717689807157016,2169.0629789235417923681521133899,0.7492924783572922757444791850933,0.032336748285567142862669909511575,234966120451735.55924743287755292,3.9999999999999999999978161747148
10,243569337969140.875,537.4154566005340648313689585566,2324.7963287411942975261990858072,0.69310919040609826700055029533114,0.043307338431290258788142810554045,243569337968773.59041040880835474,3.9999999999999999999975219520207
11,252487559843027.9375,573.54277234858535261875912816278,2491.6230694161806593162648917028,0.64133968022278492600477476838431,0.058148523020221768999862544428233,252487559842621.53121890916429076,3.9999999999999999999971836238653
12,261732319868452.3125,612.38563013962484412080835487396,2670.353220893009136559570915289,0.59360699707343995258846157305482,0.078256962817418372429013146616054,261732319868002.26304449193821027,3.9999999999999999999967944775536
13,271315574146745.3125,654.13131783323069391358255853487,2861.8416850547477247385769531022,0.54956833746661939351706615407623,0.1055374293651194242972516756513,271315574146246.57819553724567768,3.9999999999999999999963468359834
14,281249716548480.15625,698.98309689550236485138308552956,3067.0151331037949243834857486508,0.50891617872144081373710011677818,0.14259260438132229585046748000986,281249716547927.12048211596486558,3.999999999999999999995831834294
15,291547594742265.6875,747.15716393814661382301023054615,3286.8578525115847660636401707067,0.47137062225114989600613029274896,0.19297704930574990819400707889296,291547594741652.09088979147197073,3.9999999999999999999952392908609
16,302222526810434.0625,798.88388189569075865943713320985,3522.4172865568055650829757445649,0.43667713571508068781897401623735,0.2615484510575499412426923457025,302222526809752.93274976347831966,3.9999999999999999999945574661897
17,313288318473107.9375,854.41132740326791827129678488723,3774.8200660383384274950434368328,0.40460536525561872959419767373317,0.35494608419339789622725002111061,313288318472351.50714016378598818,3.9999999999999999999937728829748
18,324759280942916.625,914.00490067089689430735873700828,4045.270088630004712300448589454,0.37494551546025809488014876742821,0.48224923533916336442628510504768,324759280942076.24120027776907219,3.9999999999999999999928699964361
19,336650249433457.5,977.94880984537786153935988911307,4335.0551676532736832767537422635,0.34750637966405762250250913840144,0.6558719928754055903724690692559,336650249432523.52336938473405654,3.9999999999999999999918309512363
20,348976602345444.375,1046.5479534594011210690541789303,4645.5554786556663702964937690766,0.32211361770129514010842340249446,0.89279715829611546650183964818159,348976602344406.06919688821132155,3.9999999999999999999906351674234
21,361754281155352.1875,1120.1286877452006836276316274844,4978.2469594640775601624712880126,0.29860779475776645761641664181875,1.2162578537215325342310930273336,361754281154197.59435684345585555,3.9999999999999999999892589592195
22,374999811032272.4375,1199.0414513518359528619936878242,5334.7131199226695381107490332945,0.27684320643977288437332350096325,1.6580392219520701431001622370546,374999811030988.23435041433812616,3.9999999999999999999876751068462
23,388730322209649.125,1283.6611929085415355321767372624,5716.6469204365357924100129392781,0.25668618973871417052773339809802,2.2616415259990025309362875837678,388730322208220.4745724105272676,3.9999999999999999999858522267921
24,402963572139540.0625,1374.3905532196080024697344312141,6125.8650984250576140808414683307,0.23801428931721577559365759646797,3.086594499813831932914863982396,402963572137950.4375253143234883,3.9999999999999999999837542375978
25,417717968458051.1875,1471.660492962172998536478325173,6564.310962642516040746163605229,0.22071492393248428593233635924634,4.2143787458122198019891882759352,417717968456282.17962477529000182,3.9999999999999999999813395814064
26,433012592791637.1875,1575.9335001441945096473543430137,7034.0688278641324364029323021174,0.2046846812180325626548376921993,5.7565237110542494989783536272535,433012592789668.29227398759031202,3.9999999999999999999785604485158
27,448867225435062.0625,1687.7049331573420714084174282192,7537.3700417309508896743158580768,0.18982834156433986603840002295968,7.8657020680528309014750901862608,448867225432870.43899106816661808,3.9999999999999999999753618010966
28,465302370932943.5,1807.5063196550765006379637161411,8076.6078236114653251038076917061,0.17605826545634483824131890721994,10.750928187163303920918582230896,465302370930503.70863243380561754,3.9999999999999999999716802874644
29,482339284597958.875,1935.9064965721113523289303985244,8654.3423822884748254303762712989,0.16329357737827631255803466240455,14.698344563398443388149549647991,482339284595242.57890426196173291,3.9999999999999999999674429962618
30,499999999999999.9375,2073.515903122955962162234098684,9273.320224632194553154791572032,0.15145974528078982249368689430433,20.099734167727359099978712077659,499999999996975.57301607744234609,3.999999999999999999962565991288
31,669855006956597.25,3628.1425353324327280856751566764,16259.235177601879826260414739396,0.082221697480726607664092777454651,257.62516776879392557194860833947,669855006949338.75201471261976035,3.9999999999999999998830765387094
32,897411460689642.375,6353.7758964706525506937860543075,28497.834099954150967473466864041,0.044676555919524210766053675878137,3317.8309697645621361408341932249,897411460672197.27201464163385843,3.9999999999999999996335909077597
33,1202271120486381.0,11130.593478172863248238533403885,49941.070180654873494100008079866,0.024287190930190864175530553091593,42802.10053260207187818868109484,1202271120444437.7289668717631831,3.9999999999999999988504052533041
34,1610694659554241.75,19502.352523494844011874350077735,87518.511722977337704009360229035,0.013207150910756086038409811321264,552631.50921713832821482238529365,1610694659453390.1224577736355205,3.9999999999999999963913779688697
35,2157863764761321.5,34176.649688909132077510942334157,153382.78466989627177941278671953,0.0071837139933370646883635616403961,7139444.6153306050383046821904354,2157863764518826.6403642992199424,3.9999999999999999886692046551171
36,2890911694311157.0,59902.929050511433542076050980313,268850.18574981994813818719540849,0.0039082826256553992090940769446167,92284732.930767317689947433853202,2890911693728093.6935513303493604,3.999999999999999964414740962485
37,3872983346207417.5,105013.65464191334937281271328711,471317.38909263495860216384032931,0.002126740167699138353537113796745,1193519958.3025030843197922608093,3872983344805496.4911211662692182,3.9999999999999998882212121638247
38,5188674572633110.0,184129.95131295900622836733577185,826403.9723021551042350838445246,0.0011575269034911355092021284858244,15444161170.308345363458624047506,5188674569262348.6250814220583867,3.9999999999999996488251034384058
39,6951319283893344.0,322912.33219760998050051384071468,1449272.6764985811450919501253172,0.00063013484503008041562707904049026,199955380945.38233026583035695234,6951319275788761.433141812168635,3.9999999999999988965322042562872
40,9312752054539772.0,566403.69378269839895429885157876,2542070.5229279806660291079646617,0.00034309913508086827934451512756077,2590203567892.3008930622236611896,9312752035053332.9909707946849184,3.9999999999999965321046737016594
41,12476387184557560.0,993683.28291538936852928215539556,4459691.08685834303232278479273,0.00018684767148939772316224803601034,33570948587909.433628176607154359,12476387137704914.343982734180132,3.9999999999999890996454781014095
42,16714740848610012.0,1743609.6812286826538022235777161,7825299.3749059051960315623184065,0.00010177381433942471000026080376414,435329932797499.25689147426368208,16714740735958785.197746557889765,3.9999999999999657325418060726568
43,22392905694846760.0,3060051.3915971135611928954185782,13733307.501389361878533643400287,0.000055445099459373505077464196204106,5647999496538992.9051504084991393,22392905423990976.372348525807088,3.9999999999998922572272749164673
44,30000000000000012.0,5371369.9208998038560401625855787,24106057.159432692065112652608111,0.000030211173069571592448680327560251,73314168434792797.410353649014723,29999999348760399.919508609582441,3.9999999999996611887522790511002
