,phi0B,xstar,alpha,mphi,A6,lambda6,ns,r
0,1000000000000.0,0.9999999999999999682904626574558775872329095116678794847621497954249589192148737120550345254360125645071881188249623639877296704283,0.9999999999999999999999999999997547285136460713233740218242946809270677823723064131924241589404941992399547263167554739584070488286,0.01389314489696766375134819357767035403052955500156771885034939373276030435112819157527238425569701969929427800309932726012881651318,0.08786796347432632656079087866510274497550767919572945494481679123704146619629064861597255786885697400032417915999249235610732781839,62960.52718657548214192168893620093741475705846654113908271288202665000166397342877191573153972694617137836831863617930139225068399,0.9550999999999999490185587092128116637468338012695312499999999999999999999999999999999999999999999999999999986535892407026394923855,4.533921259060810320136930256985706624177468737015597831680322677750471840742565150643639777914878980824350033430080205079545406429e-47
1,1156703383396.315347562462382951976280790739574887937816805139151898068502032063100531033706624831524984205038865505353411089300361,0.9999999999999999575738212572678492650194877118371690625152764019280286038060321892520493155315383586154026650628087188484689003992,0.9999999999999999999999999999995683456438562317626225683505831442932105144045627373520512140647823386310787793467233107765232704928,0.01829383335411610800818288684300288508602764438866239440781336911835348615411818794579530932944303834007915021093262136585185893684,0.1157003610691290816805779773220391381100676002492728255236376992730253110341504988215876362177656744196676991749650460539805133224,46311.03484448783502510997708435757903484741471047102031602337023013735448940840031214073697155098671183889384101582865939809685553,0.9550999999999999490185587092128116637468338012695312500000000000000000000000000000000000000000000000000000030127187688316089274715,1.051783351446369923273886177715429067023282995551210639606569364658633283164547128233971131555791878399150175691356321630384755825e-46
2,1337962717160.483295677707939055140339317295423040437433109347830390038537210663368889653345408862890703160513075123527996633447626,0.999999999999999943235354610637744034670196499259046538861188989557418127205073394295422088514791720595061450977999050558362593829,0.9999999999999999999999999999992402690060088917709203312661551697338114008569195882924067520900049213786168450766100204847111497827,0.0240906607714889280603619019820117404871185620296855074758942036434257717244672706559056918376826057299228618479510410565214889321,0.1523627167527483430214896585185323994330793234366398881457547154465748416310366354177206838939185294797093954060888871502337051552,34067.51498499113639600856212351480684715918009851055825050282894493790874607231567974138039404251928728821192202440381350762533752,0.9550999999999999490185587092128116637468338012695312499999999999999999999999999999999999999999999999999999997557303942791906121251,2.44038468693135613672530787347225839038990546052596770688389514917692632772632238291926842694357286845026233921747621838420810435e-46
3,1547626001797.658301829333708475547625307907642121590445247321149305308758538890412364688099477554965806339678646215160279116273882,0.9999999999999999240510208161975608492021962362037849765786314709095241166625666316379610085880078948374670101945061248229755964149,0.9999999999999999999999999999986627344956762489412665355570398304746304076006796711897338323896190453771096440330935934193708203106,0.03172721987279317983225998218209846448504147798538185422423726617199781497640441346550984275385403357746845216764184076198579414914,0.2006605572459682449445624496032602694259027412161844654741378478650984667655852173514016481961515537107208835133108147771696539419,25063.15489103380243938441532372648296334150722526692472369344689327419486750760012142347187910260295105543192188425761478655195014,0.9550999999999999490185587092128116637468338012695312500000000000000000000000000000000000000000000000000000004029384385328137734253,5.663291487612381686392927718765438578490023287427310421198555862277225790046226085763862260039969136495436848694786017475307683539e-46
4,1790144232511.463421661875829132950594092285285946177190130884550932645140588204170638840306702221510437003843805914365390727498801,0.9999999999999998983830974456746651563592710107501454084870370907454045767043601703610201265832134535302900547893278595331423148663,0.9999999999999999999999999999976459864365408248638485979886533464859732403561787411856863217552806646657546373849565836747440955016,0.04178824375554541995313293585314839406788377982568996950851654875318823983530692584982801323428952703824659500826159695675404792408,0.2642920593716641184041524046617728546004276400288352474536395965709328535104820477367761748771427541628522478998891819894306472665,18440.37784107503345275510901853146561401200932222389470576270123795973628519962511148034896287995316623091937091459873340014028364,0.9550999999999999490185587092128116637468338012695312500000000000000000000000000000000000000000000000000000002607577512403578606044,1.314489523268500924045618764917302519302172268415527535085921934331729663269539797873822323746030117005861053351436532340644965014e-45
5,2070665890513.41001262534674936802169509965816709554172806718391005708871923913286908823970031220937039860714597204773696854167717,0.9999999999999998640403729489827534418032338161056525185062130301307470007267112373901178708720403678894025344720192347637534419839,0.9999999999999999999999999999958558711432168095287689877934692323869852315688347638687663841163003433280925995495209477296062071553,0.05504457307204476946254025003436227874215119947041310904744175900185574804423976606519996744474672643351787151159999335778269634463,0.3481324474784662268705528426319794417760313906901189619395430015735898363567398312748057984658009661758054123471973587401667298868,13568.82308893108338404660122668898342418927483675034890463387386653845178381786726067316140128509791348763981636000063676097102519,0.9550999999999999490185587092128116637468338012695312499999999999999999999999999999999999999999999999999999998736729378099140969658,3.051560028337705548207998570240700930537480141103869130644066559305145593167669901997292805882996869699072260819686516348062813451e-45
6,2395146241440.205457285424189962279590697710633417137391515638829532282572192130335600883844040629181613429587129483135904156066631,0.9999999999999998180910879666949411084071761859578696794428381267323763191633877798881259398836599018629318496190549976418836345509,0.999999999999999999999999999992703913563311668142803005103328298590794040431976969541315207351192904555373298945964270778707638283,0.07251246775757570611518319706940311922483982169724975117803998390113550305257591178472727779439516183055216537887482421616820116225,0.4586091137469231041787622288211392296890391829151633499161563353220314559197836148558384677579933077629322023453981543187267532551,9985.098058483031405314542152396395209031340391352928007251675193753345436742201648021965264025916833292012300217825614736020900684,0.9550999999999999490185587092128116637468338012695312500000000000000000000000000000000000000000000000000000000566997792345949342025,7.085365931251546726727097113746832793581713967722965695379745654657845150228347300670305358679956179887236568727381161779347529723e-45
7,2770473761202.854013109426972389683279402723375024231153773011853540377224903173403039243200826415416679564147995032491748292964149,0.9999999999999997566126577802115789552206428105559857917684205664217300562232770632587140367005676924326145357416307941331209355268,0.9999999999999999999999999999871536843979608240413151499359670470820097327264779607530556699302936848183354678874066300159847118646,0.09553184468783012256710586274140829449003607616734664888245778373484145706279267595630832234968577629019064140851474061446510887375,0.6041964365820009173243592068523225488189624987321397482002024621403841930646931243216398444468678598186114951819753796594163355873,7348.518453520037114994097053813738835734997796915663548303720420508512137667883664346493853430555767331234364022033527402890028475,0.9550999999999999490185587092128116637468338012695312499999999999999999999999999999999999999999999999999999999986469182844419185724,1.645421825520031222694515459873795429457597018810690520586393435533157931399961594639668921284700431263007806238209278029565937789e-44
8,3204616373194.056412595576571343211927439735923217315573220954135642736895579788869203611393108825822751794026166433893987033102022,0.9999999999999996743568102811431895630077386447906783378815310284758729066780066944375995575216757016528450230922566681632352525437,0.9999999999999999999999999999773796886724087116090423810894188286865781362993525945248196929986003636469964809708143106032275009418,0.1258694875156551892147300700706633900334523420171769415200285631561477317839626676447905089813389739227028955986218157820707846369,0.7960685369351982506874858696345778444106786145480081655226506166878855835163707758784488638721156132573785515786435973184227246949,5408.590058040164908415061865154554950122495044628355393083112976083816665246241483267715981758516622651140300831998175794170495343,0.9550999999999999490185587092128116637468338012695312500000000000000000000000000000000000000000000000000000000015492496260991358752,3.82178160332627206591741298900183682699179747469389390829187428933789989599892644149683133831376505709613895291330817539226216189e-44
9,3706790601360.79393605712294760408159477943447413013195255768167930552606058076288880930829370980951421702396007458121933220247063,0.9999999999999995643015530589510634295537246476057357158201946580162500459935381139662430258233151048817830394352509851591791230863,0.9999999999999999999999999999601664120168180193301103427224277009655703791959666659271237743947137269040171917593743251577329186628,0.1658552086929681596483017408661155818109811858119993557170831966766803100138324155318067043761613890107807455906138871228623442706,1.048960442544675199190794224938819657635633517921090045132806667974762893739855082131848939903931363328514641236850132862728196129,3981.11472569912006035440422604684254744449489942550800653209813423884247817319341852425689744046818221707905589325519402487068942,0.9550999999999999490185587092128116637468338012695312499999999999999999999999999999999999999999999999999999999943565069160950441767,8.878246109376460574553791012442929752400517865448311883956039200527991737195995131193805676124357345947190779611550930625029450991e-44
