,phi0B,xstar,alpha,mphi,A6,lambda6,ns,r
0,10000000000000.0,0.9999999999999976341436503891523013150547477918643,0.9999999999999999999999999978677175336868684682569,1.181068264428474168470726357396644098456321929651,7.469731575472008032503226725393057992626031025099,535.2328873211459069142345632449148054596372192868,0.9665000000000000257571741713040949423009304550832,3.276595596497342104046966660760456798987627706143e-41
1,11320203287854.47148734594830782558877065509405202,0.9999999999999969682260050299233081469285815280415,0.999999999999999999999999996542026571908866007141,1.495423009207591138955339010632559797965754100407,9.457885549037876176957147418132015413827186422767,412.681447708786311931297554790939094168109884039,0.9665000000000000257571741713033892930081530153758,6.731462213288150732543009430697384335936937555465e-41
2,12814700247835.11862491328874034458327477055790407,0.9999999999999961148725035276323833172521380402953,0.9999999999999999999999999943918365533105957121796,1.893550822710387362488752015056300395749602175058,11.97586693010102685795686561081849441350369701791,318.2078937617870173456042531328124213029576971158,0.9665000000000000257571741713034244463621546213908,1.383068464536721262650293836666839136586146752194e-40
3,14506501187841.26173519081484456518771514850759129,0.9999999999999950213255708083595618617621674504857,0.9999999999999999999999999909041871676386390454873,2.397802884010695572119606324407697943691656177979,15.16503698718866851329898246424638275696429713914,245.3751382323019263148894680920697185321768268147,0.9665000000000000257571741713036754096449324395207,2.842007079039724793118549660738004674635553243472e-40
4,16421654244186.54507075986662666291625617652941469,0.9999999999999936199779558346010493970621320788983,0.9999999999999999999999999852468770783322748895479,3.036500483866327603652667295940600208634142960524,19.20451529044192426071978676972939031794375660608,189.2228284191459800220313721738100814807768024519,0.9665000000000000257571741713035467863045134002352,5.840544808648558553152853885620089213512311898743e-40
5,18589646436704.98674767665752804703219935087232131,0.9999999999999918241929929437687299945591037326902,0.9999999999999999999999999760697214269913222638591,3.845531369928785749088395960175988997886292179287,24.32127588520500593703599737400852674472475975481,145.9283358190170555147478204691629697167222463505,0.966500000000000025757174171303629172563405958855,1.200405066387115146014025899707709447675946913693e-39
6,21043857671283.99376899541917354604928568010270893,0.9999999999999895229483920420433096670156905611438,0.9999999999999999999999999611820449168390209608015,4.870373370992596366320511527976115597157119351786,30.80294581553769945881092481428018892171612596129,112.54562665217652517041126140189810601259622279,0.9665000000000000257571741713036310485207058832378,2.467448331029186917993915719150238631307724822519e-39
7,23822074679961.06337602831664265345999575223574212,0.9999999999999865739724162913306514961901054035954,0.9999999999999999999999999370293148019013532057091,6.168659776806556997220402198611297975254047874044,39.01403001074927229274778233431504879702365510407,86.80410859211804301602334700494629289857437884395,0.9665000000000000257571741713036380348123789888019,5.072401738887946837949123429567663059498915634582e-39
8,26967072811560.99688419168872526508882380161834011,0.9999999999999827949480995596790520346607314758169,0.9999999999999999999999998978437795979710866096441,7.813431648839236350965608761411401981710807902662,49.41648070475380489153805345935919668542331428908,66.95366839374910855042351048636786909695317046792,0.9665000000000000257571741713036434523487139999091,1.042855397571890849190926218063539178002531945865e-38
9,30527274630524.37036436855647450405868887397546888,0.9999999999999779522417147394080203812347721377716,0.9999999999999999999999998342659995134692948744439,9.897261175969219472264092222317621260267336462756,62.59577582723857162041201321764982461057612496289,51.64528598706171314653214071376166532237915077414,0.9665000000000000257571741713036346129184049704309,2.144267545203884032664499187503683692770974428613e-38
10,34557495464169.84108592462221077038755186001127193,0.9999999999999717464586437634061870092162411870172,0.999999999999999999999999731107566660643831772009,12.53747958079910557792336581560691702318725309531,79.29398318635645790762632967927953683071507584439,39.83905155243536607740263027163163264096506769314,0.9665000000000000257571741713036315429879538555662,4.40938316786986684041775586947606540358886829447e-38
11,39119787377351.1395089900884132633333325286180852,0.9999999999999637939336579969261557634083676081076,0.9999999999999999999999995637198093968000544574712,15.88280573569496296753459871784276772949946407955,100.4516835175647643736129372952736472841046333521,30.73329127984734801198309656227050550385557431245,0.9665000000000000257571741713036288893873562799234,9.068182721933372619538394950369280101364531073118e-38
12,44284394568925.81931494615599390032425730670359342,0.9999999999999536030112673923646628403060868027495,0.9999999999999999999999992920996459394830850977653,20.12175112644549809428206930242509284628669312152,127.261128141253041688879231303092835419527786671,23.70995432462559689359234663402894112399374339337,0.9665000000000000257571741713036326379230467774951,1.865115849655120496495334013834283343119440943699e-37
13,50130834899979.88142806031350652441706847240741433,0.9999999999999405436496989327536936956554923670516,0.9999999999999999999999988513220942017895000069825,25.49327762774758254648514059401788486151132927926,161.2336446533930349263566015117462386533181008639,18.29252746886009366888077552908462302466814066225,0.966500000000000025757174171303631648243609978152,3.836489990367996266395896083444901167889310102845e-37
14,56749124205764.20000719204777726415070254694068156,0.9999999999999238084693061342762068273074717005784,0.9999999999999999999999981360095107723374430476658,32.30031246705154034509229053047333839445094179152,204.2851130620305542768632345973840337057852014279,14.11360179766672743740679596263494256668463997158,0.9665000000000000257571741713036312831025432561885,7.892318760148608189812643447496396521881977481979e-37
15,64241162241695.35178241431704761233564646136255196,0.9999999999999023628372734057867602427508273791168,0.9999999999999999999999969751197322434058667858361,40.92688703392443831027421591474007073446226862222,258.8443611352283105923889603940957634963561485325,10.88987626830411874177722464014386978220281930127,0.9665000000000000257571741713036316270166720735695,1.623742087169776393410704826457474684185575055345e-36
16,72722301602403.23293667975269746156341868612215707,0.9999999999998748809026609066033443184368266101576,0.9999999999999999999999950910167847187622375767956,51.85987208271395237239552430337919273896112216156,327.9906298927122687527308161335964111511819995028,8.402891770862272524529718609207186864010064099512,0.9665000000000000257571741713036316516978834222369,3.340957542092089827985883968866104281438528270461e-36
17,82323123769986.96663463371128313139359420400951428,0.999999999999839663627231895054518639210674884949,0.9999999999999999999999920330230837261246492501151,65.71654310564290896607958766836496631690867159301,415.6279123329337971805019920968995067759580582616,6.484181084127164767118071571233809741354457615602,0.9665000000000000257571741713036317009910882856176,6.874893048329004676217691744399418147275348667386e-36
18,93191449636745.68331420991443467279979713034830201,0.9999999999997945337444150175884055417675018825773,0.9999999999999999999999870695387102049664759352036,83.2795411070582694491768669745103280999907098643,526.7060647838491745963433519344404229875459014553,5.003821909217306461110254590370450839137428726022,0.9665000000000000257571741713036317696360117599739,1.414821415298883070651096104753963780973772649019e-35
